ProductId,ProductNr,ProductName,ReportCategoryName,EANNumber,StockQty,Brand,ProductCostPriceExVat,ProductSalesPrice_InclVAT,RRP,ProductURL,ProductImage,Tag
200714,GLO0003,"glóMinerals - gloPressed Base Powder Foundation - Golden Dark 9,9g",Sminke,840749010003,72,GloMinerals,87.21,409,480,https://www.blivakker.no/product/200714,http://static.blivakker.no/Media/2/0/300_300/CCAF34F300B974F6E8535C75DC5A83AC_200714_0.jpg,
4097,SEB0097,Sebastian Professional Penetraitt shampoo 250ml,Hårpleie,4015600054694,,Sebastian,72.87,219,309,https://www.blivakker.no/product/4097,http://static.blivakker.no/Media/2/0/300_300/_SEB0097_1.gif,
200011,KMS0075,Kms California - Curlup Balsam 750ml,Hårpleie,4044897255163,28,KMS California,115.69,319,,https://www.blivakker.no/product/200011,http://static.blivakker.no/Media/2/0/300_300/09F1764320B22574FA08997143BD88E3_200011_1.jpg,
3011710,ELI0028,Elizabeth Arden - Ceramide - Lash Extending Mascara Black 7ml,Sminke,85805070731,773,Elizabeth Arden,81.09,265,,https://www.blivakker.no/product/3011710,http://static.blivakker.no/Media/2/0/300_300/EF21720D5F1CC01BEADE45BE90750E33_3011710_2.jpg,
3048970,LOR0446,L'Oréal Professionnel Absolut Repair Lipidium Hårkur 200ml,Hårpleie,3474630640702,204,LOreal Serie Expert,48.13,189,275,https://www.blivakker.no/product/3048970,http://static.blivakker.no/Media/2/0/300_300/ABCFEC70202B7CA7DBCC29D4D9505319_3048970_0.jpg,
200143,TIB0130,Tigi Bedhead Styleshots Epic Volume Shampoo 750ml,Hårpleie,615908416800,,Tigi Bedhead,53.21,455,455,https://www.blivakker.no/product/200143,http://static.blivakker.no/Media/2/0/300_300/9B3165F86BAD2585A4070335062B878E_200143_1.jpg,
201030,REE0008,REN - Global Protection Day Cream 50ml,Hudpleie,5060033779125,526,REN,127.87,329,395,https://www.blivakker.no/product/201030,http://static.blivakker.no/Media/2/0/300_300/2EB074A7C5AC15B3DDA0F39DAB56A237_201030_1.jpg,
3011381,EXU0040,Exuviance Sheer Refining Fluid SPF 35 50ml,Hudpleie,732013200473,69,Exuviance,167.57,389,399,https://www.blivakker.no/product/3011381,http://static.blivakker.no/Media/2/0/300_300/4163795A22228324F8730008621FC72C_3011381_0.jpg,
4733,KMS0065,Kms California - Curlup Shampoo 750ml,Hårpleie,4044897255064,,KMS California,105.78,299,,https://www.blivakker.no/product/4733,http://static.blivakker.no/Media/2/0/300_300/C0123A9D4AC3DD9B08DC9B176B405404_4733_0.jpg,
3027682,RED0226,Redken Curvaceous Shampoo 1000ml,Hårpleie,884486095107,262,Redken,188.33,519,960,https://www.blivakker.no/product/3027682,http://static.blivakker.no/Media/2/0/300_300/C71179BF958C7F90A399A202D8B4775C_3027682_0.jpg,
