identifier,sku,category,brand,name,url,price,promo_start,promo_end
Gigabyte GeForce GTX 1070 Founders Edition 8GB (GV-N1070D5),4719331321352,Componentes > Placas Gráficas > PCI-E > NVidia,,Gigabyte GeForce GTX 1070 Founders Edition 8GB (GV-N1070D5),https://www.pcdiga.com/2/21490/Gigabyte-GeForce-GTX-1070-Founders-Edition-8GB-GV-N1070D5,519.99,2016-09-16,
2422,740617258424,Componentes > Memórias > DDR4 > Mais de 2666Mhz,,HyperX Predator DDR4-3333MHz 2x8GB (HX433C16PB3K2/16),https://www.pcdiga.com/2/21542/HyperX-Predator-DDR4-3333MHz-2x8GB-HX433C16PB3K2-16,156.9,2016-09-16,
412,4712900430905,Componentes > Placas Gráficas > PCI-E > NVidia,,Asus GeForce GTX 1070 Founders Edition 8GB (90YV09V0-U0NA00),https://www.pcdiga.com/2/21551/Asus-GeForce-GTX-1070-Founders-Edition-8GB-90YV09V0-U0NA00,499.9,2016-09-16,
Kingston MicroSDXC UHS-I 64GB Class10 (SDC10G2/64GBSP),,Armazenamento > Cartões Memória > MicroSD,,Kingston MicroSDXC UHS-I 64GB Class10 (SDC10G2/64GBSP),https://www.pcdiga.com/2/21570/Kingston-MicroSDXC-UHS-I-64GB-Class10-SDC10G2-64GBSP,15.9,,
Capa Dell Tablet Folio Venue Pro 11 (460-BBNC),5397063620715,Tablets > Capas / Bolsas,,Capa Dell Tablet Folio Venue Pro 11 (460-BBNC),https://www.pcdiga.com/2/21567/Capa-Dell-Tablet-Folio-Venue-Pro-11-460-BBNC,19.9,,
3558,3567041050625,Computadores > Portáteis > Acessórios > Malas,,"Mala PortDesign Hanoi 17.3"" Preta (105062)",https://www.pcdiga.com/2/21560/Mala-PortDesign-Hanoi-17-3-Preta-105062,19.9,2016-09-16,
3559,3567041050618,Computadores > Portáteis > Acessórios > Malas,,"Mala PortDesign Hanoi 15.6"" Preta (105061)",https://www.pcdiga.com/2/21561/Mala-PortDesign-Hanoi-15-6-Preta-105061,14.9,2016-09-16,
771,4712900387766,SmartPhones > SmartWatch,,Asus ZenWatch 2 WI501Q (BQC) - 1LCML0009 (90NZ0041-M01630),https://www.pcdiga.com/2/21554/Asus-ZenWatch-2-WI501Q-BQC-1LCML0009-90NZ0041-M01630,189.9,2016-09-16,
1287,843591068581,Componentes > Caixas > ATX,,Corsair Carbide SPEC-Alpha Preta/Cinza (CC-9011084-WW),https://www.pcdiga.com/2/21563/Corsair-Carbide-SPEC-Alpha-Preta-Cinza-CC-9011084-WW,86.9,2016-09-16,
773,4712900371925,SmartPhones > SmartWatch,,Asus ZenWatch 2 WI501Q (BQC) - 2MGRY0014 (90NZ0046-M01610),https://www.pcdiga.com/2/21558/Asus-ZenWatch-2-WI501Q-BQC-2MGRY0014-90NZ0046-M01610,249.9,2016-09-16,
Tablet Dell Venue 11 7140-7634 M-5Y10 4GB 128SDD,5397063677634,Tablets > Windows,,Tablet Dell Venue 11 7140-7634 M-5Y10 4GB 128SDD,https://www.pcdiga.com/2/21564/Tablet-Dell-Venue-11-7140-7634-M-5Y10-4GB-128SDD,349.9,,
1887,4719331322168,Componentes > Placas Gráficas > PCI-E > NVidia,,Gigabyte GeForce GTX 1080 G1 Gaming 8GB (GV-N1080G1),https://www.pcdiga.com/2/21540/Gigabyte-GeForce-GTX-1080-G1-Gaming-8GB-GV-N1080G1,779.91,2016-09-16,
Tablet Dell Venue 11 7140-7672 M-5Y71 8GB 256SSD,5397063677672,Tablets > Windows,,Tablet Dell Venue 11 7140-7672 M-5Y71 8GB 256SSD,https://www.pcdiga.com/2/21562/Tablet-Dell-Venue-11-7140-7672-M-5Y71-8GB-256SSD,399.9,,
