name,category,price,code,brand,id,image_url
Robomow TS 1000,Robotic,1799,TS 1000,Robomow,221,http://www.robomow.com/images/products/small/mgm-ts-1000.png
,Pro electric,,RCS36,Ryobi,222,
,Pro electric,,RHT36,Ryobi,223,
,Pro electric,,RBL36B ,Ryobi,224,
,Handheld,,EB854RT,Shindaiwa,225,
,Handheld,,EB854,Shindaiwa,226,
,Robotic,,127,Stiga,227,
,Robotic,,720 S,Stiga,228,http://www.stiga.com/products/media/catalog/product/cache/4/image/9df78eab33525d08d6e5fb8d27136e95/a/u/autoclip_20720_20s_13_large.jpg
,Robotic,,920 S,Stiga,229,http://www.stiga.com/products/media/catalog/product/cache/4/image/9df78eab33525d08d6e5fb8d27136e95/2/6/26-8130-11_3.jpg
,Robotic,,325,Stiga,230,http://www.stiga.com/products/media/catalog/product/cache/4/image/9df78eab33525d08d6e5fb8d27136e95/2/6/26-8120-11_5.jpg
,Robotic,,527 S,Stiga,231,
,Robotic,,125,Stiga,232,
,Robotic,,328 S,Stiga,233,http://www.stiga.com/products/media/catalog/product/cache/4/image/9df78eab33525d08d6e5fb8d27136e95/a/u/autoclip_328_s_13_small.jpg
,Robotic,,520,Stiga,234,
,Wheeled,,Estate Master HST,Stiga,235,
Tronçonneuse MSA 200 C-BQ,Pro Electric,419,MSA 200,Stihl,236,http://www.stihl.fr/upload/assetmanager/modell_imagefilename/scaled/websize/stihl-MSA200.jpg
Tronçonneuse MSA 160 C-BQ,Pro Electric,355,MSA 160,Stihl,237,http://www.stihl.fr/upload/assetmanager/modell_imagefilename/scaled/websize/Stihl-MSA-1.jpg
Tronçonneuse d'élagage MSA 160 T,Pro Electric,489,MSA 160 T,Stihl,238,http://www.stihl.fr/upload/assetmanager/modell_imagefilename/scaled/websize/fr-msa160t.jpg
Coupe-herbe à batterie FSA 65,Pro electric,259,FSA 65,Stihl,239,http://www.stihl.fr/upload/assetmanager/modell_imagefilename/scaled/websize/F-AKKU_FSA65_CE_D001_p_2.jpg
Coupe-herbe à batterie FSA 85,Pro electric,289,FSA 85,Stihl,240,http://www.stihl.fr/upload/assetmanager/modell_imagefilename/scaled/websize/F-FSA_FSA85-D001_p_1_1.jpg
Taille-haise HSA 65,Pro electric,225,HSA 65,Stihl,241,http://www.stihl.fr/upload/assetmanager/modell_imagefilename/scaled/websize/stihl-HSA65-g-ion.jpg
,Pro electric,,HSA 85,Stihl,242,
Taille-haise HSA 86,Pro electric,309,HSA 86,Stihl,243,http://www.stihl.fr/upload/assetmanager/modell_imagefilename/scaled/websize/stihl-HSA86-ionec.jpg
Souffleur BGA 85,Pro electric,305,BGA 85,Stihl,244,http://www.stihl.fr/upload/assetmanager/modell_imagefilename/scaled/websize/S-AKKU_BGA85_CE-L001_p4_2-ec.jpg
,Pro electric,,BGA 100,Stihl,245,
Perche d'elagage HTA 85,Pro electric,629,HTA 85,Stihl,246,http://www.stihl.fr/upload/assetmanager/modell_imagefilename/scaled/websize/fr-batterie-hta85-1.jpg
Taille-haies sur perche HLA 65,Pro electric,365,HLA 65,Stihl,247,http://www.stihl.fr/upload/assetmanager/modell_imagefilename/scaled/websize/stihl-HLA65.jpg
,Pro electric,,HLA 85,Stihl,248,
Tronçonneuse MS 362 C-M,Handheld,1026,MS 362 C-M,Stihl,249,http://www.stihl.fr/upload/assetmanager/modell_imagefilename/scaled/websize/M-MS362C-S001_p.jpg
Tronçonneuse MS 181,Handheld,339,MS 181,Stihl,250,http://www.stihl.fr/upload/assetmanager/modell_imagefilename/scaled/websize/M-MS181-S001_p.jpg
Tronçonneuse MS 181 C-BE,Handheld,379,MS 181 C-BE,Stihl,251,http://www.stihl.fr/upload/assetmanager/modell_imagefilename/scaled/websize/M-MS181C-PM-S001_p.jpg
Tronçonneuse MS 211,Handheld,409,MS 211,Stihl,252,http://www.stihl.fr/upload/assetmanager/modell_imagefilename/scaled/websize/M-MS211-S001_p.jpg
Tronçonneuse MS 211 C-BE,Handheld,469,MS 211 C-BE,Stihl,253,http://www.stihl.fr/upload/assetmanager/modell_imagefilename/scaled/websize/M-MS211C-PMC3-S001_p.jpg
Tronçonneuse MS 261 C-M,Handheld,793,MS 261 C-M,Stihl,254,http://www.stihl.fr/upload/assetmanager/modell_imagefilename/scaled/websize/M-MS261CM-D006_p.jpg
Tronçonneuse,Handheld,,MS 382,Stihl,255,
Tronçonneuse MS 192 T,Handheld,419,MS 192 T,Stihl,256,
Tronçonneuse MS 201 T,Handheld,692,MS 201 T,Stihl,257,
Débroussailleuse thermique FS 460 C-EM,Handheld,1075,FS460C-EM,Stihl,258,http://www.stihl.fr/upload/assetmanager/modell_imagefilename/scaled/websize/F-FS460C-D003_p.jpg
Débroussailleuse thermique FS 460 C-EM K,Handheld,1095,FS490C-EM K,Stihl,259,http://www.stihl.fr/upload/assetmanager/modell_imagefilename/scaled/websize/F-FS410C-D003_p_1.jpg
Débroussailleuse thermique FS 410 C-E,Handheld,869,FS 410C-E,Stihl,260,http://www.stihl.fr/upload/assetmanager/modell_imagefilename/scaled/websize/F-FS410C-D005_p.jpg
,Handheld,,FS46CE,Stihl,261,
,Handheld,,FS45,Stihl,262,
Coupe-bordures thermique FS 40,Handheld,204,FS40,Stihl,263,http://www.stihl.fr/upload/assetmanager/modell_imagefilename/scaled/websize/F-FS40-D001_p.jpg
Coupe-bordures thermique FS 38,Handheld,179,FS38,Stihl,264,http://www.stihl.fr/upload/assetmanager/modell_imagefilename/scaled/websize/F-FS38_EU-D001_p.jpg
,Handheld,,BR600,Stihl,265,
,Handheld,,HS46CE,Stihl,266,
,Handheld,,HS46,Stihl,267,
Robot de tonte iMow 632,Robotic,2290,Imow 632,Viking,268,https://cdn1.stihlonline.com/remote.jpg.ashx?preset=ProductDetails-Large&urlb64=aHR0cDovL3N0YXRpYy5zdGlobC5jb20vdXBsb2FkL2Fzc2V0bWFuYWdlci9tb2RlbGxfaW1hZ2VmaWxlbmFtZS9zY2FsZWQvd2Vic2l6ZS81MTY3ZTAyOTdmNjM0N2YzYWU4NDNiNjZmNmIyNTI0MS5qcGc&hmac=rDTFs-t41wg
Robot de tonte iMow 632P,Robotic,2927,Imow 632P,Viking,269,https://cdn1.stihlonline.com/remote.jpg.ashx?preset=ProductDetails-Large&urlb64=aHR0cDovL3N0YXRpYy5zdGlobC5jb20vdXBsb2FkL2Fzc2V0bWFuYWdlci9tb2RlbGxfaW1hZ2VmaWxlbmFtZS9zY2FsZWQvd2Vic2l6ZS81MTY3ZTAyOTdmNjM0N2YzYWU4NDNiNjZmNmIyNTI0MS5qcGc&hmac=rDTFs-t41wg
,Wheeled,,MT 4097 S,Viking,270,
,Wheeled,,MT 5097 C,Viking,271,
,Wheeled,,MT 4112 SZ,Viking,272,
,Wheeled,,MT 6112,Viking,273,
,Robotic,,Robo Scooter 400,Wolf Garten,274,
,Robotic,,Robo Scooter 600,Wolf Garten,275,
,Pro electric,,WG168,Worx,276,
,Pro electric,,WG268,Worx,277,
,Pro electric,,WG540,Worx,278,
,Pro electric,,WG575,Worx,279,
,Robotic,,Landroid 2.0,Worx,280,
Débroussailleuse 545RXT,Handheld,,545RXT,Husqvarna,281,http://cdn.husqvarna.com/dimage.axd/productDetail/h210-0306/545rxt-45181011.png
Débroussailleuse forestière 555FX,Handheld,1429,555FX,Husqvarna,282,http://cdn.husqvarna.com/dimage.axd/productDetail/h210-0300/545fx-4e41570c.png
Débroussailleuse 545RX,Handheld,799,545RX,Husqvarna,283,http://cdn.husqvarna.com/dimage.axd/productDetail/h210-0306/545rx-45181011.png
Coupe bordures 128C,Handheld,199,128C,Husqvarna,284,http://cdn.husqvarna.com/dimage.axd/productDetail/h210-0237/128c-2a498b11.png
Coupe bordures 122C,Handheld,169,122C,Husqvarna,285,http://cdn.husqvarna.com/dimage.axd/productDetail/h210-0365/122c-71b45c3a.png
,Handheld,,570BFS,Husqvarna,286,http://cdn.husqvarna.com/dimage.axd/productDetail/h210-0314/570bts-15ce0ab0.png
Souffleur 570BTS,Handheld,809,570BTS,Husqvarna,287,http://cdn.husqvarna.com/dimage.axd/productDetail/h210-0314/570bts-15ce0ab0.png
Taille haie 122HD60,Handheld,339,122HD60,Husqvarna,288,http://cdn.husqvarna.com/dimage.axd/productDetail/h210-0299/122hd60-3665c47e.png
Taille haie 122HD45,Handheld,299,122HD45,Husqvarna,289,http://cdn.husqvarna.com/dimage.axd/productDetail/h210-0298/122hd45-5b2d7247.png
Tronçonneuse MS 170,Chainsaws,218,MS 170,Stihl,290,http://www.stihl.fr/upload/assetmanager/modell_imagefilename/scaled/websize/M-MS170-S003_p_1.jpg
Tronçonneuse MS 271,Chainsaws,649,MS 271,Stihl,291,
Tronçonneuse MS 291,Chainsaws,719,MS 291,Stihl,292,http://www.stihl.fr/upload/assetmanager/modell_imagefilename/scaled/websize/M-MS291-S001_p.jpg
