Exit Date,Product Number,Launch Date,Product Description,ACV Fall,Future Product Policy,ACV Spg,Present Product Policy,Theme,NIP ($),On Shelf,Item ID,Margin,Case Pack,RRP
12/31/2015,70165,8/1/2014,Ultra Agents Mission HQ,0,C,0,C,LEGO® Ultra Agents,77.99,Full Year,6061526,35%,2,119.99
12/31/2015,70164,8/1/2014,Hurricane Heist,0,C,0,C,LEGO® Ultra Agents,58.49,Full Year,6061524,35%,3,89.99
12/31/2015,70167,3/1/2015,Invizable Gold Getaway,0,A,0,A,LEGO® Ultra Agents,15.49,March,6101008,38%,4,24.99
12/31/2015,70166,3/1/2015,Spyclops Infiltration,0,A,0,A,LEGO® Ultra Agents,8.05,March,6100979,38%,5,12.99
12/31/2015,70169,3/1/2015,Agent Stealth Patrol,0,A,0,A,LEGO® Ultra Agents,37.19,March,6100982,38%,3,59.99
12/31/2015,70168,3/1/2015,Drillex Diamond Job,0,A,0,A,LEGO® Ultra Agents,26.39,March,6101013,34%,3,39.99
12/31/2015,42008,8/1/2013,Service Truck,0,C,0,C,LEGO® Technic,92.99,Full Year,6025220,38%,2,149.99
12/31/2015,10532,1/1/2014,My First Police Set,0,C,0,C,LEGO® DUPLO® Town,16.24,Full Year,6061853,35%,2,24.99
12/31/2015,10538,8/1/2014,Fire and Rescue Team,0,C,0,C,LEGO® DUPLO® brand Disney Planes™,20.99,Full Year,6061863,30%,2,29.99
12/31/2015,10539,8/1/2014,Beach Racing,0,C,0,C,LEGO® DUPLO® brand Disney Jake and the Never Land Pirates™,17.49,Full Year,6061836,30%,2,24.99
12/31/2016,70411,3/1/2015,Treasure Island,0,A,0,A,LEGO® Pirates,15.49,March,6100656,38%,3,24.99
12/31/2015,75038,3/1/2014,Jedi™ Interceptor,0,A,0,A,LEGO® Star Wars™,20.99,Full Year,6060935,30%,3,29.99
12/31/2015,41087,1/1/2015,Bunny & Babies,0,C,0,C,LEGO® Friends,4.95,January,6099629,38%,10,7.99
12/31/2015,41085,1/1/2015,Vet Clinic,0,A,0,A,LEGO® Friends,15.49,January,6099623,38%,3,24.99
12/31/2015,75037,3/1/2014,Battle on Saleucami™,0,A,0,A,LEGO® Star Wars™,12.59,Full Year,6060933,30%,5,17.99
7/31/2015,75030,3/1/2014,Millennium Falcon™,0,A,0,A,LEGO® Star Wars™,9.09,Spring Only,6060905,30%,5,12.99
12/31/2015,41102,9/1/2015,LEGO® Friends Advent Calendar,0,F,0,,LEGO® Friends,26.39,September,6099698,34%,3,39.99
12/31/2016,70410,3/1/2015,Soldiers Outpost,0,A,0,C,LEGO® Pirates,15.49,March,6100653,38%,3,24.99
12/31/2015,10545,8/1/2014,Batcave Adventure,0,C,0,C,LEGO® DUPLO® Super Heroes,34.99,Full Year,6061861,30%,2,49.99
12/31/2015,70784,1/1/2015,Lewa – Master of Jungle,0,C,0,C,LEGO® BIONICLE,11.87,January,6100344,34%,4,17.99
12/31/2015,70787,1/1/2015,Tahu - Master of Fire,0,C,0,C,LEGO® BIONICLE,16.49,January,6100302,34%,4,24.99
12/31/2015,10546,1/1/2014,My First Shop,0,C,0,C,LEGO® DUPLO® Town,16.24,Full Year,6061855,35%,2,24.99
,70781,,Protector of Earth,,,,,Bionicle,,,,,,12.99
,70780,,Protector of Water,,,,,Bionicle,,,,,,12.99
12/31/2015,10543,8/1/2014,Superman™ Rescue,0,C,0,C,LEGO® DUPLO® Super Heroes,13.99,Full Year,6061857,30%,4,19.99
12/31/2015,10542,1/1/2014,Sleeping Beauty’s Fairy Tale,0,C,0,C,LEGO® DUPLO® brand Disney Princess™,27.99,Full Year,6061866,30%,2,39.99
,41532,,Burnard,,,,,Mixels,,,,,,5.99
,41533,,Globert,,,,,Mixels,,,,,,5.99
,41530,,Meltus,,,,,Mixels,,,,,,5.99
,41531,,Flamzer,,,,,Mixels,,,,,,5.99
12/31/2015,70789,1/1/2015,Onua – Master of Earth,0,C,0,C,LEGO® BIONICLE,16.49,January,6100298,34%,4,24.99
12/31/2015,70788,1/1/2015,Kopaka – Master of Ice,0,C,0,C,LEGO® BIONICLE,16.49,January,6100300,34%,4,24.99
,41534,,Vampos,,,,,Mixels,,,,,,5.99
