Unique Product Code,Product name,Brand,Product Group,Stock Availability?,Product URL,Image URL
PROLWHFR2200000HGX11,Pair Wheels Garda Clincher 11 Shim                                                                  ,Pro-Lite                                          ,WHEELS FACTORY ROAD / TRI                         ,no,http://www.ribblecycles.co.uk/pro-lite-pair-wheels-garda-clincher/,
SHIMWHFR630BK00HG500,Pr Whls RS010 Black 9/10/11 Shim                                                                    ,Shimano                                           ,WHEELS FACTORY ROAD / TRI                         ,yes,http://www.ribblecycles.co.uk/shimano-pr-whls-rs010/,
SRAMGRSS348000000000,Shift/Brake Levers Rival 22 11Spd w/cables                                                          ,Sram                                              ,GEARSHIFT/BRAKE LEVER SETS - ROAD                 ,yes,http://www.ribblecycles.co.uk/sram-shift-brake-levers-rival-22-11spd-w-cables/,
CONTTYRR250000070X23,GatorSkin Rigid Tyre 700x23mm                                                                       ,Continental                                       ,TYRES ROAD/TRI/TRACK RIGID                        ,yes,http://www.ribblecycles.co.uk/continental-gatorskin-rigid-tyre/,
SHIMCHAR202000072393,Dura Ace 9000 11Spd Chainset 172.5 39/53                                                            ,Shimano                                           ,CHAINSETS ROAD                                    ,yes,http://www.ribblecycles.co.uk/shimano-dura-ace-9000-11spd-chainset/,
ASSOZBBS380BK00XL000,T Equipe S7 Bib Shorts Black XL                                                                     ,Assos                                             ,BIB SHORTS                                        ,yes,http://www.ribblecycles.co.uk/assos-t-equipe-s7-bib-shorts/,
CONTTUBE300000078542,Race 28 Inner Tube 700x20/25 SV42mm                                                                 ,Continental                                       ,TUBES INNER ROAD                                  ,yes,http://www.ribblecycles.co.uk/continental-race-inner-tube/,
SHIMCASS936000011320,11 Spd 105 5800 Cassette 11-32                                                                      ,Shimano                                           ,CASSETTES-ROAD                                    ,yes,http://www.ribblecycles.co.uk/shimano-11-spd-105-5800-cassette/,
SHIMGRFR558000020000,Dura Ace 9000 11Spd Front Gear Braze-on                                                             ,Shimano                                           ,GEARS FRONT-ROAD                                  ,yes,http://www.ribblecycles.co.uk/shimano-dura-ace-9000-11spd-front-gear/,
CAMPCHAR958000072340,Chorus UT Carbon 11Spd Cset 172.5 34/50                                                             ,Campagnolo                                        ,CHAINSETS ROAD                                    ,yes,http://www.ribblecycles.co.uk/campagnolo-chorus-ut-carbon-11spd-cset/,
CAMPCASS700000011290,11 Spd Chorus Cassette 11-29                                                                        ,Campagnolo                                        ,CASSETTES-ROAD                                    ,yes,http://www.ribblecycles.co.uk/campagnolo-11-spd-chorus-cassette/,
SHIMGRSS6450000DOUBL,STI Levers 105 Silver 5700 with cables Double                                                       ,Shimano                                           ,GEARSHIFT/BRAKE LEVER SETS - ROAD                 ,no,http://www.ribblecycles.co.uk/shimano-sti-levers-105-silver-5700-with-cables/,
CAMPWHFR3410000ED150,Pr Whl Shamal Ultra 2-way Blk Clin10/11Camp0135443                                                  ,Campagnolo                                        ,WHEELS FACTORY ROAD / TRI                         ,no,http://www.ribblecycles.co.uk/campagnolo-pr-whls-shamal-ultra-2-way-black-clin/,
SHIMELFR225000020000,Dura Ace Di2 9070 11Spd Front Gear Braze-on                                                         ,Shimano                                           ,ELECTRONIC DERAILLEUR FRONT                       ,yes,http://www.ribblecycles.co.uk/shimano-dura-ace-di2-9070-11spd-front-gear/,
SHIMPEDA800BK0000000,Clipless Spd-SL R540 (105) Pedals Black                                                             ,Shimano                                           ,PEDALS - ROAD                                     ,yes,http://www.ribblecycles.co.uk/shimano-clipless-spd-sl-r540-105-pedals/,
CAMPWHFR5570000ED200,Pr Whls Scirocco 35 Blk Clin 9/10/11 Camp 0135380                                                   ,Campagnolo                                        ,WHEELS FACTORY ROAD / TRI                         ,yes,http://www.ribblecycles.co.uk/campagnolo-pr-whls-scirocco-35-black-clincher/,
SRAMBRAR365000000000,Force 22 Brakeset                                                                                   ,Sram                                              ,BRAKES ROAD                                       ,yes,http://www.ribblecycles.co.uk/sram-force-22-brakeset/,
SHIMPEDM160BK0000000,Clipless Spd M520 Pedals Black                                                                      ,Shimano                                           ,PEDALS - MTB                                      ,yes,http://www.ribblecycles.co.uk/shimano-clipless-spd-m520-pedals/,
CONTTYRR250000070X25,GatorSkin Rigid Tyre 700x25mm                                                                       ,Continental                                       ,TYRES ROAD/TRI/TRACK RIGID                        ,yes,http://www.ribblecycles.co.uk/continental-gatorskin-rigid-tyre/,
CAMPCHAI262000000000,10Spd Veloce Chain                                                                                  ,Campagnolo                                        ,CHAINS                                            ,yes,http://www.ribblecycles.co.uk/campagnolo-10spd-veloce-chain/,
SHIMBRAR461000000000,Tiagra 4600 Brake Set                                                                               ,Shimano                                           ,BRAKES ROAD                                       ,yes,http://www.ribblecycles.co.uk/shimano-tiagra-4600-brake-set/,
LOOKPEDA162000016NM0,Keo Blade 2 Carbon Cromo Pedals 16Nm Spring                                                         ,Look                                              ,PEDALS - ROAD                                     ,yes,http://www.ribblecycles.co.uk/look-keo-blade-2-carbon-cromo-pedals/,
ASSOZBBS384BK00CMD00,T.Cento S7 Bib Shorts Black MD                                                                      ,Assos                                             ,BIB SHORTS                                        ,yes,http://www.ribblecycles.co.uk/assos-t-cento-s7-bib-shorts/,
CAMPGRSS141000000000,P/S Ergos Dble Athena Carbon 11Spd w/cbls                                                           ,Campagnolo                                        ,GEARSHIFT/BRAKE LEVER SETS - ROAD                 ,no,http://www.ribblecycles.co.uk/campagnolo-p-s-ergos-dble-athena-carbon-11spd-w-cbls/,
TIMEPEDA672CABK00000,Xpresso 10 Carbon Pedals Carbon/Black                                                               ,Time                                              ,PEDALS - ROAD                                     ,yes,http://www.ribblecycles.co.uk/time-xpresso-10-carbon-pedals/,
SHIMBTBR7110000600BS,4600 BB Cups (34/35/4500 double/triple) Eng                                                         ,Shimano                                           ,BOTTOM BRACKETS-ROAD                              ,yes,http://www.ribblecycles.co.uk/shimano-4600-bb-cups-34-35-4500-double-triple/,
SHIMGRSS3300000TRIPL,STI Levers Tiagra 4603 10Spd with cables Triple                                                     ,Shimano                                           ,GEARSHIFT/BRAKE LEVER SETS - ROAD                 ,yes,http://www.ribblecycles.co.uk/shimano-sti-levers-tiagra-4600-10-speed-with-cables/,
SHIMCHAR198000075393,Ultegra Double 6800 11 Spd Chainset 175 39/53                                                       ,Shimano                                           ,CHAINSETS ROAD                                    ,yes,http://www.ribblecycles.co.uk/shimano-ultegra-double-6800-11-spd-chainset/,
SHIMWHFR373BKRDHG100,Pair Wheels RS21 Clincher Black/Red 8/9/10/11 Shim                                                  ,Shimano                                           ,WHEELS FACTORY ROAD / TRI                         ,yes,http://www.ribblecycles.co.uk/shimano-pair-wheels-rs21-clincher/,
SHIMCHAR164000070340,105 Black 5800 11Spd Chainset Compact 170 34/50                                                     ,Shimano                                           ,CHAINSETS ROAD                                    ,yes,http://www.ribblecycles.co.uk/shimano-105-black-5800-11spd-chainset/,
