ServiceID,Name,ProductID,ProductName,ProductURL,Region,DateFrom,PriceType,AgeFrom,AgeTo,BuyPriceGBP,SellPriceGBP,MarginGBP,MarginPercent
67326,3 day Niagara Falls & Toronto 1000 Islands- Dbl/Tw,95753,"Niagara Falls, Toronto &amp; 1000 Islands Tour",http://www.attractiontix.co.uk/tickets/niagara-falls-toronto-1000-islands-tour,New York,29/06/2014,Adult,0,0,200.3,242,41.7,17.23
67326,3 day Niagara Falls & Toronto 1000 Islands- Dbl/Tw,95753,"Niagara Falls, Toronto &amp; 1000 Islands Tour",http://www.attractiontix.co.uk/tickets/niagara-falls-toronto-1000-islands-tour,New York,29/06/2014,Child,2,12,175.82,212,36.18,17.07
26898,3 Island Tour - from Fethiye,84996,3 Island Tour - from Fethiye,http://www.attractiontix.co.uk/tickets/three-island-Fethiye,Fethiye,01/07/2014,Adult,0,0,12.9,19,6.1,32.11
26898,3 Island Tour - from Fethiye,84996,3 Island Tour - from Fethiye,http://www.attractiontix.co.uk/tickets/three-island-Fethiye,Fethiye,01/07/2014,Child,7,12,6.45,10,3.55,35.5
63179,30 Mins Everglades Airboat Tour & Wildlife Park,81485,Wild Florida Everglades Airboat Tours & Wildlife Park,http://www.attractiontix.co.uk/tickets/everglades-airboat-rides-wildlife-park,Orlando,28/06/2014,Adult,0,0,8.73,16,7.27,45.44
63179,30 Mins Everglades Airboat Tour & Wildlife Park,81485,Wild Florida Everglades Airboat Tours & Wildlife Park,http://www.attractiontix.co.uk/tickets/everglades-airboat-rides-wildlife-park,Orlando,01/01/2015,Adult,0,0,10,14,4,28.57
63179,30 Mins Everglades Airboat Tour & Wildlife Park,81485,Wild Florida Everglades Airboat Tours & Wildlife Park,http://www.attractiontix.co.uk/tickets/everglades-airboat-rides-wildlife-park,Orlando,28/06/2014,Child,3,12,7.69,13,5.31,40.85
63179,30 Mins Everglades Airboat Tour & Wildlife Park,81485,Wild Florida Everglades Airboat Tours & Wildlife Park,http://www.attractiontix.co.uk/tickets/everglades-airboat-rides-wildlife-park,Orlando,01/01/2015,Child,3,12,8.8,12,3.2,26.67
15248,3-Day Go Miami Card,80418,GO Miami Card,http://www.attractiontix.co.uk/tickets/go-miami,Miami,28/06/2014,Adult,0,0,66.76,90,23.24,25.82
15248,3-Day Go Miami Card,80418,GO Miami Card,http://www.attractiontix.co.uk/tickets/go-miami,Miami,28/06/2014,Child,3,12,53.41,72,18.59,25.82
78481,3-Gun Package ,95743,The Range 702 Shooting Experiences,http://www.attractiontix.co.uk/tickets/the-range-702-shooting-experiences,Las Vegas,28/06/2014,Adult,0,0,65.58,102,36.42,35.71
60491,4 Islands Boat Trip - Hurghada,84929,4 Islands Boat Trip - From Hurghada,http://www.attractiontix.co.uk/tickets/4-islands-boat-trip-from-hurghada,Hurghada,28/06/2014,Adult,0,0,23.74,34,10.26,30.18
60491,4 Islands Boat Trip - Hurghada,84929,4 Islands Boat Trip - From Hurghada,http://www.attractiontix.co.uk/tickets/4-islands-boat-trip-from-hurghada,Hurghada,01/10/2014,Adult,0,0,23.74,36,12.26,34.06
60491,4 Islands Boat Trip - Hurghada,84929,4 Islands Boat Trip - From Hurghada,http://www.attractiontix.co.uk/tickets/4-islands-boat-trip-from-hurghada,Hurghada,28/06/2014,Child,2,11,11.87,18,6.13,34.06
60491,4 Islands Boat Trip - Hurghada,84929,4 Islands Boat Trip - From Hurghada,http://www.attractiontix.co.uk/tickets/4-islands-boat-trip-from-hurghada,Hurghada,01/10/2014,Child,2,11,11.87,19,7.13,37.53
46927,48hr Hop On Hop Off Open Top Sightseeing-San Fran,95764,Hop On Hop Off Bus Tour - San Francisco ,http://www.attractiontix.co.uk/tickets/hop-on-hop-off-bus-tour-san-francisco,San Francisco,28/06/2014,Adult,0,0,20.77,30,9.23,30.77
46927,48hr Hop On Hop Off Open Top Sightseeing-San Fran,95764,Hop On Hop Off Bus Tour - San Francisco ,http://www.attractiontix.co.uk/tickets/hop-on-hop-off-bus-tour-san-francisco,San Francisco,28/06/2014,Child,5,15,14.54,19,4.46,23.47
64468,48hr Hop On Hop Off Tour - Miami,84941,Miami Hop On Hop Off Tour,http://www.attractiontix.co.uk/tickets/miami-hop-on-hop-off,Miami,28/06/2014,Adult,0,0,17.21,30,12.79,42.63
64468,48hr Hop On Hop Off Tour - Miami,84941,Miami Hop On Hop Off Tour,http://www.attractiontix.co.uk/tickets/miami-hop-on-hop-off,Miami,01/04/2015,Adult,0,0,21.96,30,8.04,26.8
64468,48hr Hop On Hop Off Tour - Miami,84941,Miami Hop On Hop Off Tour,http://www.attractiontix.co.uk/tickets/miami-hop-on-hop-off,Miami,28/06/2014,Child,5,15,12.46,24,11.54,48.08
64468,48hr Hop On Hop Off Tour - Miami,84941,Miami Hop On Hop Off Tour,http://www.attractiontix.co.uk/tickets/miami-hop-on-hop-off,Miami,01/04/2015,Child,5,15,16.62,24,7.38,30.75
4829,4-Day GO Orlando Card + Sea World,80420,GO Orlando Card,http://www.attractiontix.co.uk/tickets/go-orlando-card,Orlando,28/06/2014,Adult,0,0,146.44,207,60.56,29.26
4829,4-Day GO Orlando Card + Sea World,80420,GO Orlando Card,http://www.attractiontix.co.uk/tickets/go-orlando-card,Orlando,28/06/2014,Child,3,12,137.21,187,49.79,26.63
25379,4in1 Hop-on/off (72hr) PLUS ALCATRAZ,84993,4in1 Hop-on/off (72hr) PLUS ALCATRAZ,http://www.attractiontix.co.uk/tickets/double-decker-all-loops-tour-plus-alcatraz,San Francisco,24/08/2014,Adult,0,0,43.92,64,20.08,31.38
25379,4in1 Hop-on/off (72hr) PLUS ALCATRAZ,84993,4in1 Hop-on/off (72hr) PLUS ALCATRAZ,http://www.attractiontix.co.uk/tickets/double-decker-all-loops-tour-plus-alcatraz,San Francisco,24/08/2014,Child,5,11,35.01,50,14.99,29.98
24545,4x4 Experience,80664,4x4 Experience Orlando,http://www.attractiontix.co.uk/tickets/4x4-experience,Orlando,28/06/2014,Adult,0,0,36.91,51,14.09,27.63
63160,5 Day Pass - I Ride Trolley,81492,I Ride Trolley,http://www.attractiontix.co.uk/tickets/i-ride-trolley,Orlando,28/06/2014,Adult,0,0,2.67,6,3.33,55.5
63160,5 Day Pass - I Ride Trolley,81492,I Ride Trolley,http://www.attractiontix.co.uk/tickets/i-ride-trolley,Orlando,28/06/2014,Child,3,9,2.67,6,3.33,55.5
15249,5-Day Go Miami Card,80418,GO Miami Card,http://www.attractiontix.co.uk/tickets/go-miami,Miami,28/06/2014,Adult,0,0,91.24,123,31.76,25.82
15249,5-Day Go Miami Card,80418,GO Miami Card,http://www.attractiontix.co.uk/tickets/go-miami,Miami,28/06/2014,Child,3,12,71.21,96,24.79,25.82
78482,5-Gun Package,95743,The Range 702 Shooting Experiences,http://www.attractiontix.co.uk/tickets/the-range-702-shooting-experiences,Las Vegas,28/06/2014,Adult,0,0,88.72,139,50.28,36.17
65805,60 Minute Night Airboat Adventure- Gator Nights,80863,Sawgrass Recreation Park,http://www.attractiontix.co.uk/tickets/sawgrass-recreation-park,Miami,28/06/2014,Adult,0,0,16.62,27,10.38,38.44
65805,60 Minute Night Airboat Adventure- Gator Nights,80863,Sawgrass Recreation Park,http://www.attractiontix.co.uk/tickets/sawgrass-recreation-park,Miami,28/06/2014,Child,4,12,8.31,15,6.69,44.6
25987,60 Minute Private Airboat Adventure 1-4 People,80863,Sawgrass Recreation Park,http://www.attractiontix.co.uk/tickets/sawgrass-recreation-park,Miami,28/06/2014,Adult,0,0,143.62,203,59.38,29.25
65804,60 Minute Private Airboat Adventure 5-6 People,80863,Sawgrass Recreation Park,http://www.attractiontix.co.uk/tickets/sawgrass-recreation-park,Miami,28/06/2014,Adult,0,0,157.98,225,67.02,29.79
64440,7 Day Grand Canyon Southwest Explorer (incl.meals),96341,7-Day Grand Canyon Southwest Tour,http://www.attractiontix.co.uk/tickets/7-day-grand-canyon-southwest,Las Vegas,13/07/2014,Adult,0,0,373.47,549,175.53,31.97
63374,7 Day Pass - I Ride Trolley,81492,I Ride Trolley,http://www.attractiontix.co.uk/tickets/i-ride-trolley,Orlando,28/06/2014,Adult,0,0,3.56,8,4.44,55.5
63374,7 Day Pass - I Ride Trolley,81492,I Ride Trolley,http://www.attractiontix.co.uk/tickets/i-ride-trolley,Orlando,28/06/2014,Child,3,9,3.56,8,4.44,55.5
15250,7-Day Go Miami Card,80418,GO Miami Card,http://www.attractiontix.co.uk/tickets/go-miami,Miami,28/06/2014,Adult,0,0,102.37,144,41.63,28.91
15250,7-Day Go Miami Card,80418,GO Miami Card,http://www.attractiontix.co.uk/tickets/go-miami,Miami,28/06/2014,Child,3,12,85.45,121,35.55,29.38
64631,9/11 Memorial Tour,81489,9/11 Memorial Tour,http://www.attractiontix.co.uk/tickets/9-11-Memorial-Tour,New York,28/06/2014,Adult,0,0,14.96,21,6.04,28.76
64631,9/11 Memorial Tour,81489,9/11 Memorial Tour,http://www.attractiontix.co.uk/tickets/9-11-Memorial-Tour,New York,28/06/2014,Child,5,12,14.96,18,3.04,16.89
