sku,Nisbets Code,manufacturer,name,price,url_path,url_key
IC15,,Blizzard Refrigeration,Blizzard IC15 Curved Lid Ice Cream Display,548,blizzard-ic15-curved-lid-ice-cream-display.html,blizzard-ic15-curved-lid-ice-cream-display
IND30,,Blizzard Refrigeration,Blizzard IND30 Commercial Induction Hob,325,blizzard-ind30-commercial-induction-hob.html,blizzard-ind30-commercial-induction-hob
L600SS,,Blizzard Refrigeration,Blizzard L600SS Upright Freezer,606,blizzard-l600ss-upright-freezer.html,blizzard-l600ss-upright-freezer
SDR40,,Blizzard Refrigeration,Blizzard SDR40 Upright Refrigerator,426,blizzard-sdr40-upright-refrigerator.html,blizzard-sdr40-upright-refrigerator
SHAD100,CC635,Blizzard Refrigeration,Blizzard SHAD100 Shadow Serve Over Counter,1119,blizzard-shad100-shadow-serve-over-counter.html,blizzard-shad100-shadow-serve-over-counter
SHAD150,CC636,Blizzard Refrigeration,Blizzard  SHAD150 Shadow Serve Over Counter,1335,blizzard-shad150-shadow-serve-over-counter.html,blizzard-shad150-shadow-serve-over-counter
SHAD200,CC637,Blizzard Refrigeration,Blizzard SHAD200 Shadow Serve Over Counter,1590,blizzard-shad200-shadow-serve-over-counter.html,blizzard-shad200-shadow-serve-over-counter
SHAD250,CC638,Blizzard Refrigeration,Blizzard SHAD250 Shadow Serve Over Counter,1802,blizzard-shad250-shadow-serve-over-counter.html,blizzard-shad250-shadow-serve-over-counter
SHAD800100,,Blizzard Refrigeration,Blizzard SHAD800/100 Shadow Slimline Serve Over Counter,1168,blizzard-shad800-100-shadow-slimline-serve-over-counter.html,blizzard-shad800-100-shadow-slimline-serve-over-counter
SHAD800150,,Blizzard Refrigeration,Blizzard SHAD800/150 Shadow Slimline Serve Over Counter,1398,blizzard-shad800-150-shadow-slimline-serve-over-counter.html,blizzard-shad800-150-shadow-slimline-serve-over-counter
SHAD800200,,Blizzard Refrigeration,Blizzard SHAD800/200 Shadow Slimline Serve Over Counter,1698,blizzard-shad800-200-shadow-slimline-serve-over-counter.html,blizzard-shad800-200-shadow-slimline-serve-over-counter
SHAD800250,,Blizzard Refrigeration,Blizzard SHAD800/250 Shadow Slimline Serve Over Counter,2132,blizzard-shad800-250-shadow-slimline-serve-over-counter.html,blizzard-shad800-250-shadow-slimline-serve-over-counter
UCF140,CC656,Blizzard Refrigeration,Blizzard UCF140 Undercounter Freezer,352,blizzard-ucf140-undercounter-freezer.html,blizzard-ucf140-undercounter-freezer
UCR140,CC655,Blizzard Refrigeration,Blizzard UCR140 Undercounter Refrigerator,352,blizzard-ucr140-undercounter-refrigerator.html,blizzard-ucr140-undercounter-refrigerator
BAR10,,Blizzard Refrigeration,Blizzard BAR10 Upright Single Door Bottle Cooler,509,blizzard-bar10-upright-single-door-bottle-cooler.html,blizzard-bar10-upright-single-door-bottle-cooler
BAR20,,Blizzard Refrigeration,Blizzard BAR20 Upright Double Door Bottle Cooler,709,blizzard-bar20-upright-double-door-bottle-cooler.html,blizzard-bar20-upright-double-door-bottle-cooler
GB3COLD,,Blizzard Refrigeration,Blizzard GB3-COLD Cold Buffet Display,1156,blizzard-gb3-cold-cold-buffet-display.html,blizzard-gb3-cold-cold-buffet-display
GB4COLD,,Blizzard Refrigeration,Blizzard GB4-COLD Cold Buffet Display,1292,blizzard-gb4-cold-cold-buffet-display.html,blizzard-gb4-cold-cold-buffet-display
GB6COLD,,Blizzard Refrigeration,Blizzard GB6-COLD Cold Buffet Display,1835,blizzard-gb6-cold-cold-buffet-display.html,blizzard-gb6-cold-cold-buffet-display
SKITUCRUCF,,Blizzard Refrigeration,Blizzard SKITUCRUCF Stacking Kit for UCR140/UCF140 Undercounter Units,64,blizzard-skitucrucf-stacking-kit-for-ucr140-ucf140-undercounter-units.html,blizzard-skitucrucf-stacking-kit-for-ucr140-ucf140-undercounter-units
BCC2,,Blizzard Refrigeration,Blizzard BCC2 Double Door Refrigerated Counter,532,blizzard-bcc2-double-door-refrigerated-counter.html,blizzard-bcc2-double-door-refrigerated-counter
BCC3,,Blizzard Refrigeration,Blizzard BCC3 Three Door Refrigerated Counter,630,blizzard-bcc3-three-door-refrigerated-counter.html,blizzard-bcc3-three-door-refrigerated-counter
HB1SS,,Blizzard Refrigeration,Blizzard HB1SS Upright Single Door General Purpose/Meat Refrigerator,768,blizzard-hb1ss-upright-single-door-general-purpose-meat-refrigerator.html,blizzard-hb1ss-upright-single-door-general-purpose-meat-refrigerator
HB2SS,,Blizzard Refrigeration,Blizzard HB2SS Upright Double Door General Purpose/Meat Refrigerator,1179,blizzard-hb2ss-upright-double-door-general-purpose-meat-refrigerator.html,blizzard-hb2ss-upright-double-door-general-purpose-meat-refrigerator
