Unique product code,Product name,Brand,Category,Price,RRP,Shipping cost,Cost price,Stock availability,Product page URL,EAN
150018,SILENTNIGHT HOLLOWFIBRE 10.5 TOG DUVET - DOUBLE,Silentnight,DUVETS,20.99,,Free Shipping,7.943,In Stock,https://www.sleepypeople.com/silentnight-hollowfibre-duvet-10-5-tog.html,5012701215763
364812LS,SILENTNIGHT COOLER SUMMER 4.5 TOG DUVET - DOUBLE,Silentnight,DUVETS,15.99,,Free Shipping,5.07,Out Of Stock,https://www.sleepypeople.com/silentnight-cooler-summer-duvet-4-5-tog.html,5012701364812
259491GE,SILENTNIGHT FINESSE PILLOW,Silentnight,PILLOWS,14.99,,Free Shipping,4.485,In Stock,https://www.sleepypeople.com/silentnight-finesse-pillow.html,5012701259491
363433GE,SILENTNIGHT ANTI ALLERGY 4 TOG COT BED DUVET,Silentnight,DUVETS,13.99,,Free Shipping,3.9,Out Of Stock,https://www.sleepypeople.com/silentnight-anti-allergy-duvet-4-tog-cot-bed.html,5012701334105
364805LS,SILENTNIGHT COOLER SUMMER 4.5 TOG DUVET - SINGLE,Silentnight,DUVETS,13.99,,Free Shipping,3.887,In Stock,https://www.sleepypeople.com/silentnight-cooler-summer-duvet-4-5-tog.html,5012701364805
150014,SILENTNIGHT HOLLOWFIBRE 4.5 TOG DUVET - SINGLE,Silentnight,DUVETS,14.99,,Free Shipping,4.42,In Stock,https://www.sleepypeople.com/silentnight-hollowfibre-duvet-4-5-tog.html,5012701215725
353755LS,SILENTNIGHT HOLLOWFIBRE 4.5 TOG DUVET - KING,Silentnight,DUVETS,17.99,,Free Shipping,6.071,Out Of Stock,https://www.sleepypeople.com/silentnight-microfibre-duvet-4-5-tog.html,5012701353755
150020,SILENTNIGHT HOLLOWFIBRE 13.5 TOG DUVET - SINGLE,Silentnight,DUVETS,18.99,,Free Shipping,6.617,In Stock,https://www.sleepypeople.com/silentnight-hollowfibre-duvet-13-5-tog.html,5012701215787
150024,SILENTNIGHT HOLLOWFIBRE 15 TOG DUVET - DOUBLE,Silentnight,DUVETS,18.99,,Free Shipping,6.604,In Stock,https://www.sleepypeople.com/silentnight-hollowfibre-duvet-15-tog.html,5012701215824
364829LS,SILENTNIGHT COOLER SUMMER 4.5 TOG DUVET - KING,Silentnight,DUVETS,17.99,,Free Shipping,6.032,Out Of Stock,https://www.sleepypeople.com/silentnight-cooler-summer-duvet-4-5-tog.html,5012701364829
