sku,category,name,url,price,dealer,image_url,shipping_cost,identifier,brand,stock
23151060064,Living > Coffee Tables,Noir Coffee Table - Black,http://www.harveysfurniture.co.uk/collection/noir/#/noir-coffee-table,99.0000,,http://steinhoffukretailltd.scene7.com/is/image/SteinhoffUKRetailLtd/987811_blackglass_IS_0,25,3096:2625,Steinhoff Tianjian,
23151070077,Living > Lamp Tables,Noir Lamp Table - Black Glass,http://www.harveysfurniture.co.uk/collection/noir/#/noir-lamp-table,79.0000,,http://steinhoffukretailltd.scene7.com/is/image/SteinhoffUKRetailLtd/987812_blackglass_IS_0,25,3105:2683,Steinhoff Tianjian,
18159010018,Living > Coffee Tables,Carla Black Coffee Table - Metal Finish,http://www.harveysfurniture.co.uk/collection/carla/#/carla-black-coffee-table,189.0000,,http://steinhoffukretailltd.scene7.com/is/image/SteinhoffUKRetailLtd/987734_metalglass_IS_0,25,2988:3242,Steinhoff Tianjian,
18159020021,Living > Lamp Tables,Carla Black Lamp Table - Metal Finish,http://www.harveysfurniture.co.uk/collection/carla/#/carla-black-lamp-table,129.0000,,http://steinhoffukretailltd.scene7.com/is/image/SteinhoffUKRetailLtd/987735_metalglass_IS_0,25,3000:3252,Steinhoff Tianjian,
23195010011,Dining > Dining Chairs,Jaz Dining Chairs (Pair) In Brown Leather Effect,http://www.harveysfurniture.co.uk/collection/jaz/#/jaz-cat-c-alvin-dining-chairs-pair,150.0000,,http://steinhoffukretailltd.scene7.com/is/image/SteinhoffUKRetailLtd/987691_brown_IS_0,59,3009:2886,Steinhoff Eurosa,
23217400011,Cabinets > Sideboards,Atherstone Large Sideboard In White,http://www.harveysfurniture.co.uk/collection/atherstone/#/atherstone-large-sideboard,349.0000,,http://steinhoffukretailltd.scene7.com/is/image/SteinhoffUKRetailLtd/987896_white_IS_0,59,3014:2888,Steinhoff - Aster,
23180000052,Cabinets > Display Units,Keswick Welsh Dresser Unit Top - Oak,http://www.harveysfurniture.co.uk/collection/keswick/#/keswick-welsh-dresser-top,299.0000,,http://steinhoffukretailltd.scene7.com/is/image/SteinhoffUKRetailLtd/887843_oak_IS_0,59,2937:2662,Furniture Origins,
23186040007,Dining > Dining Tables,Carnival Clear Round Dining Table,http://www.harveysfurniture.co.uk/collection/carnival/#/carnival-round-dining-table-in-clear-glass,99.0000,,http://steinhoffukretailltd.scene7.com/is/image/SteinhoffUKRetailLtd/987928_clear_IS_0,59,3075:2696,Steinhoff Tianjian,
23133992483,Dining > Dining Chairs,Astoria Wooden Chair (Pair),http://www.harveysfurniture.co.uk/collection/astoria/#/astoria-wooden-chairs-pair,600.0000,,http://steinhoffukretailltd.scene7.com/is/image/SteinhoffUKRetailLtd/987888_marble_IS_0,59,3130:2647,Exclusive,
23153040019,Cabinets > Sideboards,Pavillion Standard Sideboard - Oak,http://www.harveysfurniture.co.uk/collection/pavillion/#/pavillion-standard-sideboard,249.0000,,http://steinhoffukretailltd.scene7.com/is/image/SteinhoffUKRetailLtd/887796_oak_IS_0,59,2923:2754,Steinhoff Haining Xingying,
23299400002,,Portsmore Extending Dining Table And 4 Chairs,http://www.harveysfurniture.co.uk/collection/portsmore/#/portsmore-extending-dining-table-and-4-chairs,1069.0000,,http://steinhoffukretailltd.scene7.com/is/image/SteinhoffUKRetailLtd/999241_oak_IS_0,59,4620:4615,Furniture Origins,
23299008506,,Portsmore Fixed Dining Table And 4 Chairs,http://www.harveysfurniture.co.uk/collection/portsmore/#/portsmore-fixed-dining-table-and-4-chairs,949.0000,,http://steinhoffukretailltd.scene7.com/is/image/SteinhoffUKRetailLtd/999242_oak_IS_0,59,4621:4607,Furniture Origins,
23299020013,,Portsmore Fixed Dining Table And 2 Benches,http://www.harveysfurniture.co.uk/collection/portsmore/#/portsmore-fixed-dining-table-and-2-benches,899.0000,,http://steinhoffukretailltd.scene7.com/is/image/SteinhoffUKRetailLtd/999243_oak_IS_0,59,4622:4608,Furniture Origins,
23289230016,,Portsmore Extending Dining Table,http://www.harveysfurniture.co.uk/collection/portsmore/#/portsmore-extending-dining-table,629.0000,,http://steinhoffukretailltd.scene7.com/is/image/SteinhoffUKRetailLtd/999104_oak_IS_0,59,3953:3902,Furniture Origins,
23289260012,,Portsmore Dining Chair In Charcoal,http://www.harveysfurniture.co.uk/collection/portsmore/#/portsmore-dining-chair-pair,285.0000,,http://steinhoffukretailltd.scene7.com/is/image/SteinhoffUKRetailLtd/999103_oak_IS_0,59,3949:3903,Furniture Origins,
23289270014,,Portsmore Bench,http://www.harveysfurniture.co.uk/collection/portsmore/#/portsmore-bench,200.0000,,http://steinhoffukretailltd.scene7.com/is/image/SteinhoffUKRetailLtd/999100_oak_IS_0,59,3948:3890,Furniture Origins,
23289300011,,Portsmore Sideboard,http://www.harveysfurniture.co.uk/collection/portsmore/#/portsmore-sideboard,629.0000,,http://steinhoffukretailltd.scene7.com/is/image/SteinhoffUKRetailLtd/999106_oak_IS_0,59,3958:3892,Furniture Origins,
23289330017,,Portsmore Console Table,http://www.harveysfurniture.co.uk/collection/portsmore/#/portsmore-console-table,379.0000,,http://steinhoffukretailltd.scene7.com/is/image/SteinhoffUKRetailLtd/999102_oak_IS_0,25,3952:3944,Furniture Origins,
23289310013,,Portsmore Coffee Table,http://www.harveysfurniture.co.uk/collection/portsmore/#/portsmore-coffee-table,439.0000,,http://steinhoffukretailltd.scene7.com/is/image/SteinhoffUKRetailLtd/999101_oak_IS_0,25,3951:3893,Furniture Origins,
23289320015,,Portsmore Nest Of Tables,http://www.harveysfurniture.co.uk/collection/portsmore/#/porstmore-nest-of-table,249.0000,,http://steinhoffukretailltd.scene7.com/is/image/SteinhoffUKRetailLtd/999105_oak_IS_0,25,3956:3894,Furniture Origins,
