street,name,country,chain,area,price,rooms
Pratama Street Tanjung Benoa,Core Hotel Benoa,Indonesia,,Tanjung Benoa,28USD,
Jalan Gunung Sari Peliatan,Puri Suksma Ubud,Indonesia,,Ubud,50USD,
Jalan Raya Legian No 486 U,Ibis Bali Legian Street Opening March 2016,Indonesia,,Seminyak,24USD,
Jalan Suweta,Atta Mesari Villas,Indonesia,,Ubud,68USD,
"Jalan Raya Batukaru,Desa Penatahan, Penebel",Yeh Panes Hot Spring Resort,Indonesia,,Penatahan,34USD,
"Jalan Hanoman, Padangtegal, Ubud",D'Rompok House,Indonesia,,Ubud,20USD,
Jalan Nelayan 16a,Villa Kouru By Exotiq Villa Holidays,Indonesia,,Canggu,405USD,
Light House Beach Jungut Batu Village,D'Nusa Beach Club And Resort,Indonesia,,Nusa Lembongan,111USD,
Jalan Subak Sari 13 Gang Beji No. 3,4quarters Luxury Pool Villas Bali,Indonesia,,Canggu,160USD,
"Jalan Dewi Srikayu Putih ,Bali",Puri Mangga Sea View Resort & Spa,Indonesia,,Kayuputih,22USD,
Jalan Kartika Plaza Gang Samudra No 55 Kuta 80361 Bali Indonesia,RedDoorz @ Kartika Plaza 2,Indonesia,,Kuta,13USD,
Jalan Dewi Sri I No 8,ZenRooms Legian Dewi Sri,Indonesia,,Legian,25USD,
"Jalan Ratna, Gg. Kembang Sari No. 1A",Kembang Sari A Hotel,Indonesia,,Denpasar,26USD,
Desa Tibubiyu Pantai Pasut,Most Exotic Beachfront Villa Keong,Indonesia,,Tabanan,169USD,
Jalan Dewi Sri 4 No 8,The Banyumas Suite Villa Legian,Indonesia,,Legian,143USD,
Jl.Tukad Pakerisan No.83-85,Nirwana Suites,Indonesia,,Denpasar,19USD,
"Jalan Toya Ning 2 Gang Ganesha, Banjar Wanayasa, Ungasan ",Eunoia Heights Villa,Indonesia,,Ungasan,46USD,
Jalan Moh. Yamin IV No. 19 ,Kumala Residence,Indonesia,,Denpasar,15USD,
Jalan Shri Lakshmi,Suji Apartment,Indonesia,,Legian,25USD,
Jl Raya Taman Ujung Seraya,Taman Ujung Resort & Spa,Indonesia,,Karangasem,53USD,
Jl By Pass Ngurah Rai No 128 Mumbu,Sama Sama Suites & Restaurant,Indonesia,,Jimbaran,43USD,
Jalan Patih Jelantik No. 2a,Hotel Damai Denpasar,Indonesia,,Denpasar,22USD,
"Jl Raya Kuta, Gg. Mayura",31 Kuta Lodge,Indonesia,,Kuta,21USD,
Jalan Goa Gajah,Rumah Bakti,Indonesia,,Ubud,42USD,
Jl Singaraja Denpasar ,Hotel Pancasari,Indonesia,,Pancasari,19USD,
"Drupadi Street, Gang Damai ",Villa Santai Seminyak,Indonesia,,Seminyak,410USD,
Jl. Dewi Sri no 9 ,Villa Ketupat,Indonesia,,Legian,22USD,
Jalan Mertasari 20 Sanur,La Bali,Indonesia,,Sanur,222USD,
"Jalan Batu Belig, Gang Gelatik No. 98",Villa Elok,Indonesia,,Kerobokan,269USD,
Desa Kenderan,Kanomayasa Ubud Villa,Indonesia,,Ubud,64USD,
Jalan G. Sari,Andari Villa,Indonesia,,Denpasar,129USD,
"Banjar Blimbingsari, Melaya, Negara",Puri Eling Blimbingsari Hotel,Indonesia,,Melaya,22USD,
Jl Raya Sayan Banjar Mas,Ganesha Home Stay,Indonesia,,Ubud,19USD,
"Jalan Raya Seminyak, Gang Bima",Room and Vespa 2 Holiday Accommodation,Indonesia,,Seminyak,57USD,
Jl Pura Melang Kelod Banjar Pantigiri,Private Villas of Bali,Indonesia,,Ungasan,834USD,
Jalan Banjar Pagutan Kaja No 8,Sri Abi Ratu Villa,Indonesia,,Denpasar,129USD,
"Jln Kuwum I, No 7, Umalas ",Villa Prisciliani,Indonesia,,Kerobokan,185USD,
"Jalan Raya Batu Bolong no. 21 A, Canggu",The Wina Echo Beach Guest House,Indonesia,,Canggu,19USD,
Jalan Nakula Barat Gang Baik Baik No I,Precious Villas - Legian,Indonesia,,Seminyak,450USD,
Jalan. Waribang no. 99,Hotel Puri Nusa Indah 3,Indonesia,,Denpasar,45USD,
Jalan Gatot Subroto Barat No 101 Padangsambian,ZenRooms Denpasar Gatot Subroto,Indonesia,,Denpasar,26USD,
Jl Pura Demak No 08,Alkyfa Hotel,Indonesia,,Denpasar,27USD,
Jalan Kayu Sugih no 8 Goa Gong Jimbaran Bali 80361 Bali Indonesia,RedDoorz @ Goa Gong Jimbaran,Indonesia,,Jimbaran,13USD,
Jl. Jatiluwih Penebel,Galang Kangin Inn,Indonesia,,Jatiluwih,20USD,
Jalan Raya Semat,Castabella Villa,Indonesia,,Canggu,106USD,
Jalan Kuwum 2 ,Bali Heaven Villa,Indonesia,,Kerobokan,370USD,
Jl Nyuh Gading Nyuh Kuning,Villa crEATe LUV PLAY,Indonesia,,Ubud,80USD,
"Jl. Mendira Beach, Sengkidu, Karangasem ",Dwi Utama Bungalow,Indonesia,,Candi Dasa,24USD,
"Uluwatu II street , Tanjung Mekar No. 2 - Jimbaran",Bali Yuris Apartment,Indonesia,,Jimbaran,20USD,
"Jalan Perum Taman Jimbaran Blok X/42, Pecatu-BALI",Danste Villas,Indonesia,,Ungasan,36USD,
"JL.Ritzcarlton,gg Kencana 3, No.88 ",Laelia Private Resort Bali,Indonesia,,Jimbaran,462USD,
"Jl. Mertasari No. 7, Sekartaman Complex",Villa Jepun Sekartaman Seminyak,Indonesia,,Seminyak,155USD,
"Jl. Gatot Subroto Barat, Mudu Taki, Kubu Gunung 27XX Tegaljaya",Bali Tulip Hotel,Indonesia,,Denpasar,20USD,
