name,country,area,chain,price,street,rooms
Casa Marina Condominium Hotel on the Beach San Juan del Sur,Nicaragua,San Juan del Sur,,0,Contiguo Al Banco Bdf Apartado Postal 17,
La Casona de Fabiana,Nicaragua,Granada,,0,De la Iglesia la Merced 3 cuadras al Sur,
Casa San Juan,Nicaragua,Managua,,0,"Rpto. San Juan, Calle Esperanza No.560",
Hostal San Angel,Nicaragua,Granada,,0,1/2 Cuadra al Sur de la Catedral,
Hostal Dona Ida,Nicaragua,Managua,,0,"Colonial Los Robles, De la gasolinera UNO Plaza el Sol 3c al sur 2 1/2 al este. No73",
Hotel Central Park Managua,Nicaragua,Managua,,0,Los Robles,
Hotel Gueguense,Nicaragua,Managua,,0," De La Estatua De Montoya Una, Y Media Cuadra Al Sur",
Hotel Destinos Nicaragua,Nicaragua,Managua,,0,Bolonia Costado Oeste Mansion Teodolinda 60 Varas al Lago,
Hostal Amigos de la Casa Roja,Nicaragua,Granada,,0,"Calle Estrada, from La Merced Church 1 block South, 75 mts East",
El Laurel en Pueblo Viejo,Nicaragua,Managua,,0,Obelisco Altos Santo Domingo 5 Km al sur,
Hostal Palma Real,Nicaragua,Leon,,0,"Hotel El convento, half block north",
Hotel Maritimo El Cubano,Nicaragua,El Cubano,,0,Calle Central Poneloya. Del Cruce de Las Penitas Girar a la Derecha 150 Metros Al Oeste,
Lost Inn Managua Hostel,Nicaragua,Managua,,0,Planes de Altamira 1,
Balcones de Majagual Eco Resort San Juan del Sur,Nicaragua,San Juan del Sur,,0,Playa Majagual,
El GA1/4egA1/4ense,Nicaragua,San Juan del Sur,,0,Playa Majagual,
