price,name,country,chain,area,rooms
"US$150","I Stay Jimbaran",Indonesia,Independent,"Jl. By Pass Ngurah Rai No. 81, 80361 Jimbaran, Indonesia","Hotel Rooms: 11"
"US$35","Sahera Hotel",Indonesia,Independent,"Jalan Raya Bunutan, 80852 Amed, Indonesia","Hotel Rooms: 4"
"US$14","Hotel Warta Dua",Indonesia,Independent,"Jl Cokroaminoto No 56, 80223 Denpasar, Indonesia","Hotel Rooms: 21"
"US$24","Ganga Hotel & Apartment",Indonesia,Independent,"Jalan Kepuh Segina No. 8, 80117 Denpasar, Indonesia","Hotel Rooms: 28"
"US$20","Q Hotel Bali",Indonesia,Independent,"Jl. By Pass Ngurah Rai, Kuta - Bali , 80361 Kuta, Indonesia","Hotel Rooms: 120"
"US$22","ZenRooms Denpasar Mertasari",Indonesia,"Hotel Chain:
ZEN Rooms","Jalan Kerta Bedulu 1A, Merta Sari. Banjar Suwung Kangin-Sidakarya, 80224 Denpasar, Indonesia","Hotel Rooms: 2,"
"US$21","Puri Saron Denpasar Hotel",Indonesia,Independent,"Jln. Gatot Subroto Barat 459, 80361 Denpasar, Indonesia","Hotel Rooms: 70"
"US$67","Ngeluwungan Boutique Villa",Indonesia,Independent,"Jalan Pantai Pererenan No. 99, 80361 Canggu, Indonesia","Hotel Rooms: 5"
"US$27","ZenRooms Denpasar Gatot Subroto",Indonesia,"Hotel Chain:
ZEN Rooms","Jalan Gatot Subroto Barat No. 101 Padangsambian, 80118 Denpasar, Indonesia","Hotel Rooms: 20,"
"US$12","Grand Chandra Hotel",Indonesia,Independent,"Jl. Diponegoro No. 122, 80114 Denpasar, Indonesia","Hotel Rooms: 30"
"US$12","Bali Dwipa",Indonesia,Independent,"Jl.benesari gg. poppies 2 kuta Jl. benesari gg. poppies 2 kuta, 80361 Kuta, Indonesia","Hotel Rooms: 40"
"US$274","Luna2 studiotel",Indonesia,Independent,"Jalan Sarinande 20, 80361 Seminyak, Indonesia","Hotel Rooms: 14"
"US$16","Mahajaya Hotel Denpasar",Indonesia,Independent,"Jalan HOS cokroaminoto No. 63 Denpasar, 80361 Denpasar, Indonesia","Hotel Rooms: 100"
"US$20","NIDA Rooms Pulau Timor Sanur",Indonesia,Independent,"Jalan Pulau Timor No. 1 Sanglah, 55582 Denpasar, Indonesia","Hotel Rooms: 5"
"US$31","Langon Bali Resort",Indonesia,Independent,"Jl. Darmawangsa, Kampial, 80361 Nusa Dua, Indonesia","Hotel Rooms: 15"
"US$43","The Rich Prada Hotel",Indonesia,Independent,"Pecatu Indah Resort, 80364 Pecatu, Indonesia","Hotel Rooms: 395"
"US$70","De Sapphire Cliff Villa Uluwatu",Indonesia,Independent,"Jalan Labuansait No 313, 80313 Uluwatu, Indonesia","Hotel Rooms: 26"
"US$9","Bali Manik Beach Inn",Indonesia,Independent,"Jl. Benesari, 80361 Kuta, Indonesia","Hotel Rooms: 25"
"US$23","Seruni Guest House",Indonesia,Independent,"Jl. Mahendradata Selatan  I/20, Denpasar, Bali, 80361 Denpasar, Indonesia","Hotel Rooms: 35"
"US$27","Hawaii Bali Hotel Kuta",Indonesia,Independent,"Jl. Bypass Ngurah Rai no 28 Kuta, 80361 Kuta, Indonesia","Hotel Rooms: 48"
"US$17","Indah Residence Hotel",Indonesia,Independent,"Jl. Gatot Subroto Barat No. 339, 80361 Denpasar, Indonesia","Hotel Rooms: 32"
"US$19","The Ayudya",Indonesia,Independent,"Jalan Glogor Carik No. 324, 80221 Denpasar, Indonesia","Hotel Rooms: 60"
"US$22","Koi Hotel and Residence",Indonesia,Independent,"Jalan Mahendradata no 107, 80361 Denpasar, Indonesia","Hotel Rooms: 24"
"US$54","Taman Ujung Resort & Spa",Indonesia,Independent,"Jl. Raya Taman Ujung, 80811 Jasri, Indonesia","Hotel Rooms: 30"
"US$21","Hotel Nikki",Indonesia,Independent,"Jl. Gatot Subroto IV / 18, 80361 Denpasar, Indonesia","Hotel Rooms: 80"
"US$22","ZenRooms Kerobokan Tangkuban Perahu",Indonesia,"Hotel Chain:
ZEN Rooms","Jalan Tangkuban Perahu No.3, 80361 Kerobokan, Indonesia","Hotel Rooms: 2,"
