area,name,rooms,price,chain,country
"Residencial Bolonia, Optica Vision 1c abajo, media al lago, Managua, Nicaragua","Hotel Montserrat","Hotel Rooms: 13",,Independent,Nicaragua
"Centro Médico Quirúrgico Santa Fe 75 Varas Al Este, Calle Santa Ana, 10000 Matagalpa, Nicaragua","Brisas Hotel","Hotel Rooms: 15",,Independent,Nicaragua
"Calle El Caimito, de la Alcaldia de Granada 2 1/2 Cuadras al Lago, 50884 Granada, Nicaragua","Hotel Real Destino","Hotel Rooms: 6",,Independent,Nicaragua
"Canal 2 tres cuadras Oeste 10 varas al norte, 000-000-0 Managua, Nicaragua","La Posadita de Bolonia","Hotel Rooms: 8",,Independent,Nicaragua
"Calle Real Xalteva, Iglesia la Merced 25 vrs al este, 11111 Granada, Nicaragua","Hotel Pinolero","Hotel Rooms: 6",,Independent,Nicaragua
"Calle Central Cuerpo de Bomberos 2 Al Sur., 1000 Masaya, Nicaragua","Hotel Maderas Inn","Hotel Rooms: 12",,Independent,Nicaragua
"1.5 blocks North from San Francisco Church, in front of Sports Gym, 10000 Granada, Nicaragua","Hotel il Padrino","Hotel Rooms: 9",,Independent,Nicaragua
"De la iglesia el carmen 1c al norte, 1/2c al oeste, 10000 Managua, Nicaragua","Hotel Centro Urbano","Hotel Rooms: 11",,Independent,Nicaragua
"Detras de la Iglesia Penticostes, Little Corn Island, Nicaragua","Sea View","Hotel Rooms: 12",,Independent,Nicaragua
"Catedral San Juan 1 1/2 cuadra al norte, contiguo al BAC jinotega, Jinotega, Nicaragua","Hotel y Restaurante la Casona","Hotel Rooms: 4",,Independent,Nicaragua
"Del cementerio 200 VRS al norte,1.5 km al oeste, Meson Nadi, Playa Santana, Popoyo, Nicaragua","Meson Nadi","Hotel Rooms: 6",,Independent,Nicaragua
"De la iglesia catolica(Merida) 50 metros  al norte ,300 metros al lago -Merida -Isla de Ometepe De la iglesia catolica(Merida) 50 metros  al norte ,300 metros al lago -Merida -Isla de Ometepe, Mérida, Nicaragua","Caballito's Mar","Hotel Rooms: 3",,Independent,Nicaragua
"Reparto El Carmen, Costado Oeste de la Iglesia El Carmen 75 varas al Sur, M/I, casa de 2 pisos. , 10000 Managua, Nicaragua","Hotel Asturias Nicaragua","Hotel Rooms: 10",,Independent,Nicaragua
"Via principal, 82100 Big Corn Island, Nicaragua","Sunrise Hotel","Hotel Rooms: 15",,Independent,Nicaragua
"Los Robles, Pool 8, media cuadra al sur, Frente al parque, 10000 Managua, Nicaragua","Hotel Central Park-Managua","Hotel Rooms: 20",,Independent,Nicaragua
"Del supermercado La Colonia 1 cuadra al sur, 050-088-4 Granada, Nicaragua","Hotel Los Chilamates","Hotel Rooms: 24",,Independent,Nicaragua
"Calle el Calvario 3 1/2 c al oeste, 000-000-0 Masaya, Nicaragua","Hotel Ivania´s","Hotel Rooms: 17",,Independent,Nicaragua
"Bo Central Costado Este de Catedral, Juigalpa, Nicaragua","Hotel Los Arcangeles","Hotel Rooms: 16",,Independent,Nicaragua
"Boca de Sabalos, El Castillo, Rio San Juan, 050-088-1 El Castillo de La Concepción, Nicaragua","Sabalos Lodge","Hotel Rooms: 11",,Independent,Nicaragua
"Altagracia, 000-000-0 Altagracia, Nicaragua","Hotel Finca El Chipote","Hotel Rooms: 6",,Independent,Nicaragua
"Avenida Principal Altamira, 449 Contiguo Pintura Sur ,Del BDF 1/2 cuadra al Sur, 00505 Managua, Nicaragua","Hotel Dulce Hogar & Spa","Hotel Rooms: 8",,Independent,Nicaragua
"De Plaza Inter, 1c al oeste, 00011 Managua, Nicaragua","Hotel Morgut","Hotel Rooms: 14",,Independent,Nicaragua
"Calle de Los Bancos, contiguo al MINSA, 13642 Matagalpa, Nicaragua","Hotel Casa Celebertti","Hotel Rooms: 12",,Independent,Nicaragua
"Desde el cruce Peñitas - Poneloya 900 metros al sur, 10000 Las Peñitas, Nicaragua","Bomalu","Hotel Rooms: 7",,Independent,Nicaragua
"De la esquina de los bancos 1c al este, 10000 León, Nicaragua","Hotel Los Balcones Leon","Hotel Rooms: 20",,Independent,Nicaragua
"Iglesia El Carmen 100 metros al Norte 50 metros al Oeste, Managua, Nicaragua","Hotel Vanderbilt","Hotel Rooms: 12",,Independent,Nicaragua
"PARQUE INFANTIL 1 1/2 CUADRA AL ESTE, 10000 Estelí, Nicaragua","Hotel Don Vito","Hotel Rooms: 36",,Independent,Nicaragua
"Costado Oeste del parque central, 050-088-4 Granada, Nicaragua","Hotel Alhambra","Hotel Rooms: 60",,Independent,Nicaragua
"Del Muelle San Jorge 100 metros Oeste 25 metros Sur, 050-088-4 San Jorge, Nicaragua","Hotel Hamacas","Hotel Rooms: 18",,Independent,Nicaragua
"Km. 7.5 carretera Managua a Masaya 500m al sur 100m al oeste, 050-088-4 Managua, Nicaragua","Hotel Brial Plaza","Hotel Rooms: 19",,Independent,Nicaragua
"Calle La Islita (2 blocks south and half a block east of the La Colonia supermarket), 050-088-4 Granada, Nicaragua","Hotel El Internacional","Hotel Rooms: 5",,Independent,Nicaragua
"1 Avenida Este, entre Calle Central y 1 Calle Norte, 56565 Chinandega, Nicaragua","Hotel Los Balcones de Chinandega","Hotel Rooms: 18",,Independent,Nicaragua
"Calle la Calzada, Frente a Iglesia Guadalupe, 00010 Granada, Nicaragua","Hotel Granada Nicaragua","Hotel Rooms: 46",,Independent,Nicaragua
"Frente al parque de los poetas, 43000 Granada, Nicaragua","Hotel Antigua Estación Granada","Hotel Rooms: 11",,Independent,Nicaragua
"Calle Consulado No. 315, 050-088-4 Granada, Nicaragua","Hotel Kekoldi de Granada","Hotel Rooms: 12",,Independent,Nicaragua
"Planes de Altamira del Casino Pharaohs 50 metros oeste  y 25 norte Managua, 355-533-3 Managua, Nicaragua","Hotel Colonnade Nicaragua","Hotel Rooms: 11",,Independent,Nicaragua
"Km 149 Carretera Panamericana, 050-088-4 Estelí, Nicaragua","Hotel Hex Estelí","Hotel Rooms: 49",,Independent,Nicaragua
"Colonial Los Robles, de Funeraria Monte de Los Olivos 1c norte y 1 1/2 c Oeste, #9, Managua 505, , 000-000-0 Managua, Nicaragua","Hotel Colibri","Hotel Rooms: 10",,Independent,Nicaragua
"80 Los Robles Del Registro Central De Las Personas 1 Cuadra Al Este 1/2 Al Sur, 31 calle sureste, 14006 Managua, Nicaragua","Hotel Casa De Angeles","Hotel Rooms: 6",,Independent,Nicaragua
"san juan del sur del parque central 75 vrs al sur, 48600 San Juan del Sur, Nicaragua","Hotel Encanto del Sur","Hotel Rooms: 18",,Independent,Nicaragua
"200 al Oeste del Muelle, 48100 San Jorge, Nicaragua","Hotel Dalinky","Hotel Rooms: 22",,Independent,Nicaragua
