area,street,rooms,chain,country,name,price
Denpasar,"Jalan Pura Mertasari, Sunset Road",,,Indonesia,Harris Hotel & Residences Sunset Road,30USD
Kuta,Jl Kartika Plaza Gang Puspa Ayu No 99,,,Indonesia,Alaya Resort Kuta,75USD
Ubud,Jalan Tirta Tawar,,,Indonesia,Puri Sunia Resort,125USD
Ubud,Jalan Raya Nyuh Kuning Pengosekan,,,Indonesia,The Ubud Village Resort & Spa,214USD
Jimbaran,"Jalan Raya Uluwatu, Banjar Pesalakan",,,Indonesia,Kupu Kupu Jimbaran - Beach Club and Spa by L'OCCITANE,141USD
Kuta,Jl. Wana Segara,,,Indonesia,Risata Bali Resort & Spa,62USD
Ubud,Jl. Sugriwa No. 89 ,,,Indonesia,Biyukukung Suite & Spa,29USD
Sanur,Jalan Sudamala No 20,,,Indonesia,Sudamala Suites & Villas,116USD
Ubud,"Banjar Bunutan, Desa Kedewatan",,,Indonesia,The Payogan Villa Resort & Spa,125USD
Kuta,Jl. Kartika Plaza,,,Indonesia,Bali Rani Hotel,68USD
Jimbaran,Jalan Bukit Permai,,,Indonesia,Le Meridien Bali Jimbaran,121USD
Ungasan,Jalan Raya Uluwatu 2000 X,,,Indonesia,The Jimbaran View,35USD
Jimbaran,Jalan Pantai Kedongan Jimbaran PO Box 1074 Tuban Badung,,,Indonesia,Sari Segara Resort Villas & Spa,36USD
Legian,Jalan Padma Legian,,,Indonesia,Rama Garden Hotel Legian,60USD
Jimbaran,Jalan Pengeracikan Kedonganan Jimbaran Kuta,,,Indonesia,Puri Bambu Hotel Bali,61USD
Ubud,"Br. Bangkiangsidem, Desa Keliki, Tegallalang",,,Indonesia,The Lokha Ubud Resort,70USD
Ubud,Desa Sebatu,,,Indonesia,Puri Gangga Resort,85USD
Ubud,Jalan. Monkey Forest,,,Indonesia,Inata Hotel Monkey Forest,32USD
Ubud,Jalan Raya Sebali,,,Indonesia,Puri Sebali Resort,103USD
Ubud,Jalan Bisma,,,Indonesia,Inata Bisma Resort & Spa Ubud,48USD
Ubud,"Br. Apuh, ",,,Indonesia,Puri Sebatu Resort,99USD
Ubud,Banjar Umahanyar Desa Pejeng Kaja Ubud,,,Indonesia,Onje Resort and Villas,64USD
Ubud,Jalan Penestanan,,,Indonesia,BaliWood Resort,68USD
Manggis,Buitan,,,Indonesia,Alila Manggis,119USD
Legian,Jl. Padma Utara,,,Indonesia,The Camakila Legian Bali,98USD
Sanur,Jl. Pengembak No. 28,,,Indonesia,Astana Pengembak Suite Apartment & Villa,38USD
Kuta,"JL By Pass Ngurah Rai, Simpang Siur No 99",,,Indonesia,Ibis Styles Bali Kuta Circle,35USD
Seminyak,Jl. Dewi Saraswati III No. 39,,,Indonesia,Astana Kunti Villas,36USD
Ungasan,"Jl. Melasti, Banjar Kelod",,,Indonesia,Banyan Tree Ungasan Bali,393USD
Payangan,Desa Kedewatan Ubud Gianyar,,,Indonesia,Puri Wulandari - A Boutique Resort & Spa,180USD
Payangan,Desa Kedewatan Ubud Gianyar,,,Indonesia,Coco de Heaven,13USD
Payangan,Desa Kedewatan Ubud Gianyar,,,Indonesia,Pertiwi Bisma 1,61USD
Payangan,Desa Kedewatan Ubud Gianyar,,,Indonesia,The Chedi Club at Tanah Gajah Ubud,242USD
Payangan,Desa Kedewatan Ubud Gianyar,,,Indonesia,Anini Raka Resort & Spa Bali,40USD
Payangan,Desa Kedewatan Ubud Gianyar,,,Indonesia,Blue Karma Hotel,149USD
Payangan,Desa Kedewatan Ubud Gianyar,,,Indonesia,Wapa di Ume Resort & Spa,135USD
Payangan,Desa Kedewatan Ubud Gianyar,,,Indonesia,Sri Phala Resort & Villa,52USD
Payangan,Desa Kedewatan Ubud Gianyar,,,Indonesia,Ossotel Legian,55USD
Payangan,Desa Kedewatan Ubud Gianyar,,,Indonesia,Ibis Styles Bali Benoa,35USD
Payangan,Desa Kedewatan Ubud Gianyar,,,Indonesia,FRii Bali Echo Beach,45USD
Payangan,Desa Kedewatan Ubud Gianyar,,,Indonesia,H Sovereign Bali,40USD
Payangan,Desa Kedewatan Ubud Gianyar,,,Indonesia,Neo Kuta Jelantik,20USD
Payangan,Desa Kedewatan Ubud Gianyar,,,Indonesia,Loft Legian Hotel,20USD
Payangan,Desa Kedewatan Ubud Gianyar,,,Indonesia,Hardys Rofa Hotel & Spa - Legian,58USD
Payangan,Desa Kedewatan Ubud Gianyar,,,Indonesia,POP Hotel Legian Dewi Sri Bali,15USD
Payangan,Desa Kedewatan Ubud Gianyar,,,Indonesia,Puri Sebatu Resort,99USD
Payangan,Desa Kedewatan Ubud Gianyar,,,Indonesia,Onje Resort and Villas,64USD
Payangan,Desa Kedewatan Ubud Gianyar,,,Indonesia,BaliWood Resort,68USD
Manggis,Buitan,,,Indonesia,Alila Manggis,119USD
Manggis,Buitan,,,Indonesia,The Camakila Legian Bali,98USD
Manggis,Buitan,,,Indonesia,Astana Pengembak Suite Apartment & Villa,38USD
Manggis,Buitan,,,Indonesia,Ibis Styles Bali Kuta Circle,35USD
Manggis,Buitan,,,Indonesia,Astana Kunti Villas,36USD
Manggis,Buitan,,,Indonesia,Banyan Tree Ungasan Bali,393USD
Manggis,Buitan,,,Indonesia,Coco de Heaven,13USD
Manggis,Buitan,,,Indonesia,Pertiwi Bisma 1,61USD
Manggis,Buitan,,,Indonesia,The Chedi Club at Tanah Gajah Ubud,242USD
Manggis,Buitan,,,Indonesia,Anini Raka Resort & Spa Bali,40USD
Manggis,Buitan,,,Indonesia,Blue Karma Hotel,149USD
Manggis,Buitan,,,Indonesia,Wapa di Ume Resort & Spa,135USD
Manggis,Buitan,,,Indonesia,Sri Phala Resort & Villa,52USD
Manggis,Buitan,,,Indonesia,Ossotel Legian,55USD
Manggis,Buitan,,,Indonesia,Ibis Styles Bali Benoa,35USD
Manggis,Buitan,,,Indonesia,FRii Bali Echo Beach,45USD
Manggis,Buitan,,,Indonesia,H Sovereign Bali,40USD
Manggis,Buitan,,,Indonesia,Neo Kuta Jelantik,20USD
Manggis,Buitan,,,Indonesia,Loft Legian Hotel,20USD
Legian,Jalan Nakula No 9,,,Indonesia,Hardys Rofa Hotel & Spa - Legian,58USD
Legian,Jalan Nakula No 9,,,Indonesia,POP Hotel Legian Dewi Sri Bali,15USD
Pemuteran,"Desa Pemuteran, Gerokgak, Singaraja",,,Indonesia,Adi Assri Beach Resorts And Spa Pemuteran,38USD
Ubud,"Banjar Kepitu, Desa Tagalalang",,,Indonesia,The Kayon Resort,149USD
Sanur,Jalan Danau Tamblingan no 25,,,Indonesia,Kejora Suites - Designer Boutique Hotel,114USD
Seminyak,Jl. Arjuna No. 1 (Double Six) Legian Kaja,,,Indonesia,Sing Ken Ken Lifestyle Boutique Hotel,74USD
Ubud,Jalan Monkey Forest,,,Indonesia,Komaneka at Monkey Forest,192USD
Sanur,Hangtuah Street III No 3 Sanur,,,Indonesia,Mentari Sanur Hotel,34USD
Nusa Lembongan,Tamarind Beach,,,Indonesia,Bay Shore Huts,66USD
Seminyak,Jl. Petitenget No. 99X Kuta,,,Indonesia,Bali Ayu Hotel,26USD
Kuta,"Jalan Poppies Lane II, PO BOX 80361",,,Indonesia,Satriya Cottages Bali,40USD
Ubud,Jalan Monkey Forest,,,Indonesia,Yulia Village Inn,47USD
Legian,Jl. Dewi Sri,,,Indonesia,The Sunset Hotel & Restaurant,19USD
Ubud,"Jalan Sriwedari no. 8, Tegallantang",,,Indonesia,Ubud Green,212USD
Legian,"Jalan. Melasti, Intan Line No. 1",,,Indonesia,Fourteen Roses Beach Hotel,24USD
Sanur,Jalan Danau Tamblingan 102 ,,,Indonesia,Puri Sading Hotel,35USD
