"code","ean","name","brand","model","category"
10024514,"8012542060604","PLACCA 3 MODULI BRONZO SATINATO ABB CHIARA","ABB",,"Electrical"
10024513,"8012542156703","PLACCA 7M CROMO SATIN ABB CHIARA","ABB",,"Electrical"
10024512,"8012542064305","PLACCA 4M CROMO SATINATO ABB CHIARA","ABB",,"Electrical"
10024511,"8012542058700","PLACCA 3 MODULI CROMO SATINATO ABB CHIARA","ABB",,"Electrical"
10024510,"8012542060406","PLACCA 3 MODULI METAL BLACK SATIN ABB CHIARA","ABB",,"Electrical"
10024509,"8012542030355","PLACCA 3 MODULI AZZURRO ABB CHIARA","ABB",,"Electrical"
10024508,"8012542010555","PLACCA 3 MODULI VULCANO ABB CHIARA","ABB",,"Electrical"
10024507,"8012542010258","PLACCA 3 MODULI SABBIA ABB CHIARA","ABB",,"Electrical"
10024506,"8012542011354","PLACCA 7M BIANCA ABB CHIARA","ABB",,"Electrical"
10024505,"8012542010753","PLACCA 4M BIANCA ABB CHIARA","ABB",,"Electrical"
10024504,"8012542010159","PLACCA 3 MODULI BIANCA ABB CHIARA","ABB",,"Electrical"
10024503,"8012542008453","SUPPORTO 7M ABB CHIARA","ABB",,"Electrical"
10024502,"8012542008354","SUPPORTO 4 MODULI ABB CHIARA","ABB",,"Electrical"
10024501,"8012542008255","SUPPORTO 3 MODULI ABB CHIARA","ABB",,"Electrical"
10011636,"8012542530800","RELE' PASSO-PASSO ABB 16A 2NA E252-230","ABB",,"Electrical"
10011635,"8012542530305","RELE' PASSO-PASSO ABB 16A 1NA E251-230","ABB",,"Electrical"
10011634,"8012542587637","INTERRUTTORE ORARIO DIGITALE SETTIMANALE ABB","ABB",,"Electrical"
10011633,"8012542041153","INTERRUTTORE ORARIO ANALOG. GIORNALIERO CON RISERVA 2MODULI ABB","ABB",,"Electrical"
10011632,"8012542407003","INTERRUTTORE MAGNETOTERM. DIFFERENZIALE 1P+N 32A 4,5KA AC 30mA ABB","ABB",,"Electrical"
10011631,"8012542406907","INTERRUTTORE MAGNETOTERM. DIFFERENZIALE 1P+N 25A 4,5KA AC 30mA ABB","ABB",,"Electrical"
10011630,"8012542406808","INTERRUTTORE MAGNETOTERM. DIFFERENZIALE 1P+N 20A 4,5KA AC 30mA ABB","ABB",,"Electrical"
10011629,"8012542406709","INTERRUTTORE MAGNETOTERM. DIFFERENZIALE 1P+N 16A 4,5KA AC 30mA ABB","ABB",,"Electrical"
10011628,"8012542406600","INTERRUTTORE MAGNETOTERM. DIFFERENZIALE 1P+N 10A 4,5KA AC 30mA ABB","ABB",,"Electrical"
10011627,"8012542780106","INTERRUTTORE DIFFERENZIALE PURO 2P 40A 30mA AC ABB","ABB",,"Electrical"
10011626,"8012542780007","INTERRUTTORE DIFFERENZIALE PURO 2P 25A 30mA AC ABB","ABB",,"Electrical"
10011621,"8012542088851","INTERRUTTORE MAGNETOTERMICO 1P+N 25A 4,5KA CURVA C 1MOD ABB","ABB",,"Electrical"
10011620,"8012542088752","INTERRUTTORE MAGNETOTERMICO 1P+N 20A 4,5KA CURVA C 1MOD ABB","ABB",,"Electrical"
10011619,"8012542088653","INTERRUTTORE MAGNETOTERMICO 1P+N 16A 4,5KA CURVA C 1MOD ABB","ABB",,"Electrical"
10011618,"8012542088554","INTERRUTTORE MAGNETOTERMICO 1P+N 10A 4,5KA CURVA C 1MOD ABB","ABB",,"Electrical"
10011617,"8012542088455","INTERRUTTORE MAGNETOTERMICO 1P+N 6A 4,5KA CURVA C1 MOD ABB","ABB",,"Electrical"
10029639,"8012542785101","INTERRUTTORE DIFFERENZIALE PURO 2P 25A 30mA SI ANTIPERTURBAZIONE","ABB",,"Electrical"
10035303,"8012542009559","PLACCA ABB 2 MODULI COLORE BIANCO","ABB CHIARA",,"Electrical"
10032057,"8012542032458","SUPPORTO 2 MODULI CON GRIFFE ABB CHIARA PER SCATOLA ROTONDA","ABB CHIARA",,"Electrical"
10035019,"3660211233603","KIT VIDEOSORVEGLIANZA AVIDSEN 3"" A COLORI CON 2 CAMERE CON FILI","AVIDESN",123360,"Electrical"
10037802,"3660211204016","TELECAMERA FINTA IN METALLO","AVIDSEN",120401,"Electrical"
10031939,"3660211032114","PORTALAMPADA E27 AVIDSEN CON TELECOMANDO","AVIDSEN",103211,"Electrical"
10031927,"3660211072400","RILEVATORE TEMPERATURA E UMIDITA' AVIDSEN DA INTERNO","AVIDSEN",107240,"Electrical"
10031920,"3660211023037","CAMPANELLO SENZA FILI AVIDSEN 230V 80 m 8 SUONERIE","AVIDSEN",102303,"Electrical"
10031915,"3660211023341","CAMPANELLO SENZA FILI AVIDSEN 120m CON FLASH 32 SUONERIE","AVIDSEN",102334,"Electrical"
10031941,"3660211522004","VIDEOCITOFONO DA TAVOLO AVIDSEN A COLORI","AVIDSEN",152200,"Electrical"
10024101,"3660211023143","CAMPANELLO CON FILO AVIDSEN","AVIDSEN",102314,"Electrical"
10022707,"3660211049532","BRACCIO PER BASCULANTI ASTRELL 70/STROMMA","AVIDSEN",104953,"Electrical"
10022768,"3660211125809","PINZA PLUGGATRICE AVIDSEN UNIVERSALE PER PLUG RJ11+ RJ45","AVIDSEN",112580,"Electrical"
10009947,"3660211007433","SIRENA FINTA AVIDSEN DA ESTERNO","AVIDSEN",100743,"Electrical"
10007249,"3660211031001","PRESA TELECOMANDATA AVIDSEN","AVIDSEN",103100,"Electrical"
10007250,"3660211031032","3 PRESE TELECOMANDATE AVIDSEN","AVIDSEN",103103,"Electrical"
10007246,"3660211023327","CAMPANELLO WIRELESS AVIDSEN PORTATA 100m","AVIDSEN",102332,"Electrical"
10005094,"8431896153518","TERMOSTATO ANALOGICO AVIDSEN CON FUNZIONE ON-OFF","AVIDSEN",610351,"Electrical"
10005092,"3660211042502","TELECOMANDO PER APRICANCELLO AVIDSEN","AVIDSEN",104250,"Electrical"
10005089,"3660211044452","ANTENNA PER APRICANCELLO AVIDSEN","AVIDSEN",104445,"Electrical"
10005088,"3660211043592","2 FOTOCELLULE APRICANCELLO AVIDSEN 12V","AVIDSEN",104359,"Electrical"
10005086,"3660211037539","CRONOTERMOSTATO SETTIMANALE LCD AVIDSEN","AVIDSEN",615352,"Electrical"
10005085,"3660215041099","APRICANCELLO PER CANCELLO A 2 ANTE AVIDSEN 85kg 1,5m","AVIDSEN",504109,"Electrical"
10005079,"3660211000168","RILEVATORE DI PRESENZA AVIDSEN CON DIN DON","AVIDSEN",100016,"Electrical"
10038925,"3660211005026","WALKIE TALKIE COMUNICATOR + 2 CARICATORI + 2 SET DI BATTERIE","AVIDSEN",100502,"Electrical"
10032245,"3660211022672","VIDEOCITOFONO LCD AVIDSEN 7"" A COLORI ULTRA SLIM 2 FILI","AVIDSEN",102267,"Electrical"
10030374,"3660211230664","KIT VIDEOSORVEGLIANZA 7"" LCD CON CAMERA INTERNO E ESTERNO 18mt DI CAVO E INGRESSO DVR","AVIDSEN",123066,"Electrical"
10030373,"3660211021682","VIDEOCITOFONO LCD AVIDSEN 7"" CON UNITA' ESTERNA IN METALLO E VISIONE NOTTURNA 2 APERTURE","AVIDSEN",102168,"Electrical"
10025824,"3660211231562","KIT VIDEOSORVEGLIANZA SENZA FILI AVIDSEN CON 2 TELECAMERE","AVIDSEN",123156,"Electrical"
10025741,"3660211022696","VIDEOCITOFONO LCD AVIDSEN 7"" COLORI VIVAVOCE","AVIDSEN",102269,"Electrical"
10027799,"8013629005372","OCCHIELLI FORO 8 -16mm CONFEZIONE 50 PEZZI","BM","BM00537","Electrical"
10027836,"8013629353916","PINZA A CRIMPARE PER BUSSOLE 6-16mm","BM","BM5391","Electrical"
10027835,"8013629353718","PINZA A CRIMPARE PER BUSSOLE 0.5-4mm","BM","BM5371","Electrical"
10027834,"8013629353411","PINZA A CRIMPARE PERTERMINALI ISOLATI Ã˜0,5-6mm","BM","BM5341","Electrical"
10027800,"8013629135130","SGUAINACAVI 4-28 mm BM1351","BM","BM1351","Electrical"
10012927,"8013629002913","FASTON 1,5-2,5 FEMMINA ISOLATI CONFEZIONE 50 PEZZI","BM","BM00291","Electrical"
10013542,"8013629002371","OCCHIELLI FORO 8 1,5-2,5 BLU CONFEZIONE100 PEZZI","BM","BM00237","Electrical"
10013541,"8013629002319","OCCHIELLI FORO 6 1,5-2,5 BLU CONFEZIONE100 PEZZI","BM","BM00231","Electrical"
10013540,"8013629005129","BUSSOLETERMINALI Ã˜ 10mm CONFEZIONE 50 PEZZI","BM","BM00512","Electrical"
10013539,"8013629005105","BUSSOLE TERMINALI Ã˜6mm CONFEZIONE 100 PEZZI","BM","BM00510","Electrical"
10013538,"8013629005082","BUSSOLETERMINALI Ã˜ 4mm CONFEZIONE 200 PEZZI","BM","BM00508","Electrical"
10012926,"8013629001916","FASTON 0,25-1,5 FEMMINA ISOLATI CONFEZIONE100 PEZZI","BM","BM00191","Electrical"
10012925,"8013629005068","BUSSOLETERMINALI Ã˜ 2,5mm CONFEZIONE 250 PEZZI","BM","BM00506","Electrical"
10012924,"8013629005044","BUSSOLE TERMINALE Ã˜ 1,5mm CONFEZIONE 500 PEZZI","BM","BM00504","Electrical"
10012923,"8013629001190","OCCHIELLI 0,25-1,5 CONFEZIONE100 PEZZI","BM","BM00119","Electrical"
10012922,"8013629002807","FASTON 1,5-2,5 MASCHIO CONFEZIONE100 PEZZI","BM","BM00280","Electrical"
10012921,"8013629002906","FASTON 1,5-2,5 FEMMINA CONFEZIONE100 PEZZI","BM","BM00290","Electrical"
10012920,"8013629001800","FASTON 0,25-1,5 MASCHIO CONFEZIONE100 PEZZI","BM","BM00180","Electrical"
10012919,"8013629001909","FASTON 0,25-1,5 FEMMINA CONFEZIONE100 PEZZI","BM","BM00190","Electrical"
10012918,"8013629002258","OCCHIELLI FORO 5 1,5-2,5 BLU CONFEZIONE100 PEZZI","BM","BM00225","Electrical"
