SKU,Product,Category,John Lewis URL,JL product code,Habitat URL,Heals URL,West Elm URL,Next URL,Next product code
RUGPQET01GRY-UK,"Parquet Cowhide Rug 170 x 240cm, Tonal Grey",Accessories & Textiles,,,,http://www.heals.co.uk/rugs/linie-design-brilliant-grey-rug/invt/266514,,,
RUGRBBN01ZMU-UK,"Ribbon Rug 170 x 240cm, Cloud Grey",Accessories & Textiles,,,http://www.habitat.co.uk/starfloral-large-grey-and-orange-wool-rug-170-x-240cm/rugs//fcp-product/101263,http://www.heals.co.uk/rugs/brink-and-campman-triangle-red-and-orange-rug/invt/903314,http://www.westelm.co.uk/canted-wool-rug-salmon-t965?quantity=1&attribute_1=183%20x%20274%20cm,,
RUGROD001GRY-UK,"The Rodnik Band Rug 230 x 160cm, Grey",Accessories & Textiles,,,http://www.habitat.co.uk/moston-large-grey-rug-170-x-240cm/rugs//fcp-product/727303,,http://www.westelm.co.uk/concentric-diamond-wool-kilim-t1288,,
RUGRYK002BLU-UK,"Ryker Rug 160 x 230cm, Blue and White",Accessories & Textiles,,,http://www.habitat.co.uk/octo-medium-blue-patterned-rug-140-x-200cm/rugs//fcp-product/263968,http://www.heals.co.uk/rugs/serengeti-green-and-white-rug/invt/268427,,http://www.next.co.uk/x551102s5#692272x55,692-272-78
RUGTEK004CRE-UK,"Tekari Rug 160 x 230cm, Cream",Accessories & Textiles,,,,,,,
RUGTIL002ZMU-UK,"Tilt Rug 170 x 240cm, Grey Mix",Accessories & Textiles,http://www.johnlewis.com/john-lewis-fusion-geo-stars-rug/p1661528,64664302,http://www.habitat.co.uk/peto-large-triangle-patterned-wool-rug-170-x-240cm/rugs//fcp-product/127083,http://www.heals.co.uk/rugs/linie-design-mirina-pastel-rug/invt/266453,http://www.westelm.co.uk/knotted-triangle-wool-rug-t1299?quantity=1&attribute_1=152%20x%20244cm,,
BSPBAK003GRY-UK,"Bark 250 x 260cm 100% Cotton Bedspread, Slate Grey",Bed & Bath,http://www.johnlewis.com/john-lewis-alice-bedspread/p119520?colour=White,,http://www.habitat.co.uk/berwick-cream-seersucker-kingsize-bedspread/throws//fcp-product/284581,http://www.heals.co.uk/bed-linen/missoni-home-gretel-74-bedspread/invt/535132,http://www.westelm.co.uk/lexington-coverlet-blue-lagoon-b1360,http://www.next.co.uk/x553264s2#680310x55,680-310-x55-34
BSTCBU003GRY-UK,"Cubus King 300tc Yarn Dye Sateen Bed Set, Spacetime Grey",Bed & Bath,http://www.johnlewis.com/john-lewis-nayna-floral-jacquard-bedding/p1635188,62732003,http://www.habitat.co.uk/pixelate-patterned-jacquard-kingsize-duvet-cover/bedding//fcp-product/151817,http://www.heals.co.uk/bed-linen/ptolemy-mann-alacha-bed-linen/invt/alachalinen,http://www.westelm.co.uk/jacquard-fern-duvet-cover-shams-ivory-b1581,http://www.next.co.uk/x555402s1#902973x55,902-973-21
BSTCBU002GRY-UK,"Cubus Double 300tc Yarn Dye Sateen Bed Set, Spacetime Grey",Bed & Bath,http://www.johnlewis.com/john-lewis-nayna-floral-jacquard-bedding/p1635188,62732002,http://www.habitat.co.uk/rukin-grey-geometric-patterned-double-duvet-cover-set/bedding//fcp-product/284590,http://www.heals.co.uk/bed-linen/ptolemy-mann-alacha-bed-linen/invt/alachalinen,http://www.westelm.co.uk/jacquard-fern-duvet-cover-shams-ivory-b1581,http://www.next.co.uk/x555402s1#902973x55,902-973-20
BSTMAB003WHI-UK,"Mabelle King 100% Cotton Seersucker Bed Set, White",Bed & Bath,http://www.johnlewis.com/john-lewis-baby-seersucker-bedding/p119541?colour=Blue/White,62802103,http://www.habitat.co.uk/bloomsbury-multi-coloured-double-duvet-cover/bedding//fcp-product/24132,http://www.heals.co.uk/bed-linen/the-linen-works-toulon-stripe-bed-linen/invt/linenstripe,http://www.westelm.co.uk/ticking-stripe-duvet-cover-shams-b1119,http://www.next.co.uk/g52234s3#944469g52,944-469-21
TOWMCR004WHI-UK,"Mercer 2 x Egyptian Cotton 700GSM Bath Sheet, White",Bed & Bath,http://www.johnlewis.com/john-lewis-supima-cotton-towels/p1085052?colour=Latte,60003402,http://www.habitat.co.uk/spa-cotton-white-bath-towel/-//fcp-product/237396,http://www.heals.co.uk/bath-linen/chortex-honeycomb-white-towels/invt/chortexwhite,http://www.westelm.co.uk/organic-pleated-edge-towels-b612,http://www.next.co.uk/x551344s15#133417x55,133-417-x55-62
TOWMCR012GRY-UK,"Mercer 2 x Egyptian Cotton 700GSM Bath Sheet, Elephant Grey",Bed & Bath,http://www.johnlewis.com/john-lewis-supima-cotton-towels/p1085052?colour=Latte,60003414,http://www.habitat.co.uk/spa-cotton-ash-grey-bath-towel/bathroom-towels//fcp-product/237398,http://www.heals.co.uk/bath-linen/chortex-honeycomb-linen-towels/invt/chortexlinen,http://www.westelm.co.uk/organic-pleated-edge-towels-b612,http://www.next.co.uk/x551344s13#669707x55,669-707-x55-62
TOWMCR008BEI-UK,"Mercer 2 x Egyptian Cotton 700GSM Bath Sheet, Nude",Bed & Bath,http://www.johnlewis.com/john-lewis-supima-cotton-towels/p1085052?colour=Latte,60003419,http://www.habitat.co.uk/egyptian-cotton-mushroom-cream-bath-sheet/bathroom-towels//fcp-product/97738,http://www.heals.co.uk/bath-linen/chortex-honeycomb-linen-towels/invt/chortexlinen,http://www.westelm.co.uk/organic-pleated-edge-towels-b612,http://www.next.co.uk/x551344s10#684699x55,684-699-x55-62
AVUFON006ZOK-UK,"Fonteyn Media Unit, Oak and Walnut",Downstairs Furniture,http://www.johnlewis.com/john-lewis-grove-corner-television-stand/p1151338?colour=Light%20Oak,,http://www.habitat.co.uk/max-oak-large-av-unit/tv-units//fcp-product/24479,http://www.heals.co.uk/invt/montanaaudio,http://www.westelm.co.uk/mid-century-media-console-small-h417,http://www.next.co.uk/x551030s4#665811x55,
CHAEDE001WHI-UK,"2 x Edelweiss Dining Chairs, Ash and Off White",Downstairs Furniture,http://www.johnlewis.com/bethan-gray-for-john-lewis-noah-oak-plywood-dining-chair/p231289594,,,http://www.heals.co.uk/chairs+stools/laclasica-dining-chair/invt/laclasica,,,
CHAFLN027GRY-UK,"2 x Flynn Dining Chairs, Persian Grey",Downstairs Furniture,http://www.johnlewis.com/neptune-sheldrake-dining-chair-mocha-linen/p231468249,,http://www.habitat.co.uk/valentina-mid-grey-fabric-upholstered-dining-chair/chairs-and-benches//fcp-product/275426,,,http://www.next.co.uk/x555046s1#937047x55,
CHAFLN034GRY-UK,"Flynn Scoop Back Chair, Persian Grey",Downstairs Furniture,http://www.johnlewis.com/neptune-henley-dining-chair-mocha-linen/p231207359,,,,,http://www.next.co.uk/x551046s2#480264x55,
CHAJNS009GRY-UK,"2 x Jenson Dining Chairs, Oak and Dark Grey",Downstairs Furniture,http://www.johnlewis.com/house-by-john-lewis-ken-dining-chair/p325453?colour=Oak,,http://www.habitat.co.uk/vince-oak-dining-chair/chairs-and-benches//fcp-product/273835,http://www.heals.co.uk/chairs+stools/ligne-roset-marcello-dining-chair/invt/324724,,http://www.next.co.uk/x556048s5#115707x55,
