,Brand,,,Model Number,Cost Price,Discontinued,NEW,All Best-seller,Ray-Ban Best-seller
,Ray-Ban,,,RX5184 2000 50,44.98,NO,NO,NO,NO
,Ray-Ban,,,RX5184 2000 52,44.98,NO,NO,NO,NO
,Ray-Ban,,,RX5184 2012 52,44.98,NO,NO,NO,NO
,Ray-Ban,,,RX5184 2479 52,44.98,NO,NO,NO,NO
,Ray-Ban,,,RX5228 2000 50,44.98,NO,NO,NO,NO
,Ray-Ban,,,RX5228 2000 53,44.98,NO,NO,NO,NO
,Ray-Ban,,,RX5228 2012 50,44.98,NO,NO,NO,NO
,Ray-Ban,,,RX5228 2012 53,44.98,NO,NO,NO,NO
,Ray-Ban,,,RX5228 2126 50,44.98,NO,NO,NO,NO
,Ray-Ban,,,RX5228 2479 53,44.98,NO,NO,NO,NO
,Ray-Ban,,,RX5228 5014 50,44.98,NO,NO,NO,NO
,Ray-Ban,,,RX5228 5405 53,44.98,NO,NO,NO,NO
,Ray-Ban,,,RX5228 5583 53,44.98,NO,NO,NO,NO
,Ray-Ban,,,RX5279 2012 53,44.98,NO,NO,NO,NO
,Ray-Ban,,,RX5283 2144 49,44.98,NO,NO,NO,NO
,Ray-Ban,,,RX5283 5607 49,44.98,NO,NO,NO,NO
,Ray-Ban,,,RX5283 5608 49,44.98,NO,NO,NO,NO
,Ray-Ban,,,RX5340 2012 51,44.98,NO,NO,NO,NO
,Ray-Ban,,,RX6275 2503 54,44.98,NO,NO,NO,NO
,Ray-Ban,,,RX7017 5197 54,44.98,NO,NO,NO,NO
,Dolce & Gabbana,,,DG3244 2933 53,45.06,NO,NO,NO,NO
,Dolce & Gabbana,,,DG3244 502 53,45.06,NO,NO,NO,NO
,Emporio Armani,,,EA4056 508973 57,45.34,NO,NO,NO,NO
,Guess,,,GU2352 A15 52,45.45,NO,NO,NO,NO
,Guess,,,GU2352 D96 52,45.45,NO,NO,NO,NO
,Marc Jacobs,,,MARC 34/S 65Z 56,45.83,NO,NO,NO,NO
,Marc Jacobs,,,MARC 34/S TMA 56,45.83,NO,NO,NO,NO
,Marc Jacobs,,,MARC 34/S TMO 56,45.83,NO,NO,NO,NO
,Oakley,,,OO9262 01 57,46.01,NO,NO,YES,NO
,Oakley,,,OO9315 01 55,46.01,NO,NO,NO,NO
,Polo Ralph Lauren,,,PH1117 9157 56,46.09,NO,NO,NO,NO
,Ray-Ban,,,RB2027 W1847 62,46.53,NO,NO,YES,YES
,Ray-Ban,,,RB2132 6052 52,46.53,NO,NO,YES,YES
,Ray-Ban,,,RB2132 6052 55,46.53,NO,NO,YES,YES
,Ray-Ban,,,RB2132 6182 52,46.53,NO,NO,NO,NO
,Ray-Ban,,,RB2132 6188 52,46.53,NO,NO,NO,NO
,Ray-Ban,,,RB2132 622 52,46.53,NO,NO,YES,YES
,Ray-Ban,,,RB2132 622 55,46.53,NO,NO,YES,YES
,Ray-Ban,,,RB2132 710 52,46.53,NO,NO,YES,YES
,Ray-Ban,,,RB2132 710 55,46.53,NO,NO,YES,YES
,Ray-Ban,,,RB2132 875 52,46.53,NO,NO,YES,YES
,Ray-Ban,,,RB2132 901 52,46.53,NO,NO,YES,YES
,Ray-Ban,,,RB2132 901L 55,46.53,NO,NO,YES,YES
,Ray-Ban,,,RB2132 902 52,46.53,NO,NO,YES,YES
,Ray-Ban,,,RB2132 902L 55,46.53,NO,NO,YES,YES
,Ray-Ban,,,RB2180 601/71 49,46.53,NO,NO,YES,YES
,Ray-Ban,,,RB2180 710/73 49,46.53,NO,NO,YES,YES
,Ray-Ban,,,RB3183 004/71 63,46.53,NO,NO,YES,YES
,Ray-Ban,,,RB3183 006/71 63,46.53,NO,NO,YES,YES
,Ray-Ban,,,RB3445 004 61,46.53,NO,NO,YES,YES
,Ray-Ban,,,RB3526 019/8G 63,46.53,NO,NO,YES,YES
,Ray-Ban,,,RB4068 710/51 60,46.53,NO,NO,YES,YES
,Ray-Ban,,,RB4165 622/55 55,46.53,NO,NO,YES,YES
,Ray-Ban,,,RB4165 622/5A 55,46.53,NO,NO,NO,NO
,Ray-Ban,,,RB4165 622/6G 55,46.53,NO,NO,YES,YES
,Ray-Ban,,,RB4165 622/6Q 55,46.53,NO,NO,YES,YES
,Ray-Ban,,,RB4171 601/55 54,46.53,NO,NO,NO,NO
,Ray-Ban,,,RB4171 601/5A 54,46.53,NO,NO,YES,YES
,Ray-Ban,,,RB4181 601 57,46.53,NO,NO,NO,NO
,Ray-Ban,,,RB4187 601/55 54,46.53,NO,NO,NO,NO
,Ray-Ban,,,RB4203 820/73 51,46.53,NO,NO,NO,NO
,Ray-Ban,,,RB4226 605271 56,46.53,NO,NO,NO,NO
,Ray-Ban,,,RB4226 710/73 56,46.53,NO,NO,NO,NO
,Ray-Ban,,,RB4232 61958G 57,46.53,NO,NO,NO,NO
,Ray-Ban,,,RB2140 901 47,46.87,NO,NO,YES,YES
,Ray-Ban,,,RB2140 901 50,46.87,NO,NO,YES,YES
,Ray-Ban,,,RB2140 901 54,46.87,NO,NO,YES,YES
,Ray-Ban,,,RB3025 001 62,46.87,NO,NO,YES,YES
,Ray-Ban,,,RB3025 001/33 58,46.87,NO,NO,NO,NO
,Ray-Ban,,,RB3025 001/33 62,46.87,NO,NO,NO,NO
,Ray-Ban,,,RB3025 L0205 58,46.87,NO,NO,YES,YES
,Ray-Ban,,,RB3025 L2823 58,46.87,NO,NO,YES,YES
,Ray-Ban,,,RB3025 W0879 58,46.87,NO,NO,YES,YES
,Ray-Ban,,,RB3025 W3234 55,46.87,NO,NO,YES,YES
,Michael Kors,,,MK5004 1017R1 59,46.88,NO,NO,YES,NO
,Michael Kors,,,MK6019 30516Q 53,46.88,NO,NO,NO,NO
,Michael Kors,,,MK6019 3053R1 53,46.88,NO,NO,NO,NO
,Michael Kors,,,MK6026 309511 57,46.88,NO,NO,NO,NO
,Michael Kors,,,MK6026 309613 57,46.88,NO,NO,NO,NO
,Michael Kors,,,MK6026 3097R1 57,46.88,NO,NO,NO,NO
,Michael Kors,,,MK6027 3097R1 55,46.88,NO,NO,NO,NO
,Michael Kors,,,MK6027 30986G 55,46.88,NO,NO,NO,NO
,Michael Kors,,,MK6027 309911 55,46.88,NO,NO,NO,NO
