"Code","15/06/2016"
"1856515HBUKUKH27",53.92
"1856515HCOCEC5",79.09
"1856515HCOEC3",78.89
"1856515HCOPREM5",79.61
"1856515HDUBLURES",59.53
"1856515HGEALTAS",55.84
"1856515HGEALTCOM",65.47
"1856515HGO4SEASN",65.44
"1856515HGOEFGRIP",
"1856515HGOEFPERF",59.07
"1856515HMISAVE",65.85
"1856515HMISAVER",
"1856515HPICINTAS",74.89
"1856515HPIP1CIVE",67.79
"1856515HPIP6",60.55
"1856515HTOCF2",58.86
"1856515QMIENGYEV",92.37
"1856515TBRB280",62.52
"1856515TBREP25",63.71
"1856515TBRR410TL",69.47
"1856515TBUGTWIN",60.46
"1856515TBUGTWTP",
"1856515TBUKUKH17",56.41
"1856515TBUKUKH27",53.73
"1856515TBUKUKW23",68.55
"1856515TBUKUWP51",51.78
"1856515TCOECO3MO",53.67
"1856515TCOECO5",60.81
"1856515TCOECO5XL",73.31
"1856515TCOTS850W",76.79
"1856515TDUENASAV",97.27
"1856515TDUSTREE2",67.31
"1856515TDUSTRER2",74.01
"1856515TGEALTCOM",64.59
"1856515TGEALTCXL",65.47
"1856515TGEALTWIN",63.25
"1856515TGOEFCOM",58.26
"1856515TGOEFFCOM",56.77
"1856515TGOULGRP8",
"1856515TGOULTG9",73.12
"1856515TMIENGSVR",61.51
"1856515TMISAVE",56.8
"1856515TMISAVER",60.71
"1856515TMISAVERX",72.69
"1856515TMIXCLIMA",73.8
"1856515TPIP1CIVE",52.6
"1856515TPIP1CIXL",73.8
"1856515TTONE03",59.88
"1856515TTONE03XL",53.65
"1856515VBRDRIVE",77.41
"1856515VMIXCLIMA",86.26
"1856515VPIP6CINT",74.87
"1856515XMILATCRS",94.57
"1856516MCOCST17",86.29
