"MTS Stockcode","Website","Pattern","Brand","Segment","Full Tyre Size","Width","Aspect Ratio","Rim","Load rating","Speed rating","Alternative speed rating","XL","Run Flat","Manufacturer mark","Fitted or Delivered","Price"
"2254018ZBRS001XL","BlackCircles","Bridgestone Potenza S001 ","bridgestone","premium","225/40/18/92/Y",225,40,18,92,"Y",,"Yes","No",,"Delivered","101.64"
"2254018ZBRRE05AO","BlackCircles","Bridgestone Potenza RE050A ","bridgestone","premium","225/40/18/92/Y",225,40,18,92,"Y",,"Yes","No","AO","Delivered","105.44"
"n/a","BlackCircles","Bridgestone Potenza RE050A ","bridgestone","premium","225/40/18/92/W",225,40,18,92,"W",,"Yes","No",,"Delivered","108.84"
"2254018ZBRS001XL","BlackCircles","Bridgestone Potenza S001 ","bridgestone","premium","225/40/18/92/Y",225,40,18,92,"Y",,"Yes","No","PZ","Delivered","110.16"
"2254018ZBRS001YA","BlackCircles","Bridgestone Turanza ER33 ","bridgestone","premium","225/40/18/88/Y",225,40,18,88,"Y",,"No","No",,"Delivered","123.28"
"2254018ZBRS001YA","BlackCircles","Bridgestone Potenza S001 ","bridgestone","premium","225/40/18/88/Y",225,40,18,88,"Y",,"No","No",,"Delivered","119.51"
"2254018ZBRS001YA","BlackCircles","Bridgestone Turanza ER33 ","bridgestone","premium","225/40/18/88/Y",225,40,18,88,"Y",,"No","No",,"Delivered","135.78"
"n/a","BlackCircles","Bridgestone Potenza RE050A ","bridgestone","premium","225/40/18/92/W",225,40,18,92,"W",,"Yes","Yes","PZ","Delivered","151.68"
"2254018ZBRRE050R","BlackCircles","Bridgestone Potenza RE050A ","bridgestone","premium","225/40/18/88/W",225,40,18,88,"W",,"No","Yes","*","Delivered","154.49"
"2254018ZBRE05A1R","BlackCircles","Bridgestone Potenza RE050A ","bridgestone","premium","225/40/18/88/Y",225,40,18,88,"Y",,"No","Yes","*","Delivered","159.53"
"n/a","BlackCircles","Bridgestone Potenza S001 ","bridgestone","premium","225/40/18/88/Y",225,40,18,88,"Y",,"No","Yes","*","Delivered","162.6"
"n/a","BlackCircles","Bridgestone Potenza Adrenalin RE002 ","bridgestone","premium","225/45/17/91/W",225,45,17,91,"W",,"No","No",,"Fitted","95.52"
"2254517ZBRS001","BlackCircles","Bridgestone Potenza S001 ","bridgestone","premium","225/45/17/91/Y",225,45,17,91,"Y",,"No","No",,"Fitted","98.88"
"2254517ZBRS001","BlackCircles","Bridgestone Potenza S001 ","bridgestone","premium","225/45/17/91/Y",225,45,17,91,"Y",,"No","No",,"Fitted","101.22"
"n/a","BlackCircles","Bridgestone Potenza RE050A ","bridgestone","premium","225/45/17/91/W",225,45,17,91,"W",,"No","No","PZ","Fitted","102.49"
"2254517ZBRER300","BlackCircles","Bridgestone Turanza ER300 ","bridgestone","premium","225/45/17/91/W",225,45,17,91,"W",,"No","No","RO1","Fitted","104.68"
