ProductID,FoldingType,LaminationType,PaperSize,PaperType,PaperTypeID,PrintOrientationID,PrintType,ProdQty,ProductType,Price,SalePrice,PrintPageNumber,IsActive,ProductTurnaroundID,VatRate,EmailArtwork,ProductCoverID,SubProductTypeID,ApplicationID,NoArtwork,ProdRange,ProductFinishingID,DateCreated
54003,NULL,No Lamination,A6,Exclusive 350gsm Silk,89,NULL,Single Sided,1000,Flyers & Leaflets,24,0,NULL,1,42,NULL,0,NULL,NULL,2,0,NULL,NULL,29:15.3
54004,NULL,No Lamination,A6,Economy 150gsm Silk,87,NULL,Double Sided,1000,Flyers & Leaflets,25,22,NULL,1,42,NULL,0,NULL,NULL,2,0,NULL,NULL,29:15.3
54005,NULL,No Lamination,A6,Exclusive 350gsm Silk,89,NULL,Single Sided,500,Flyers & Leaflets,17,0,NULL,1,42,NULL,0,NULL,NULL,2,0,NULL,NULL,29:15.3
54006,NULL,No Lamination,A6,Economy 150gsm Silk,87,NULL,Double Sided,2000,Flyers & Leaflets,28,0,NULL,1,42,NULL,0,NULL,NULL,2,0,NULL,NULL,29:15.3
54007,NULL,No Lamination,A6,Exclusive 350gsm Silk,89,NULL,Single Sided,250,Flyers & Leaflets,15,0,NULL,1,42,NULL,0,NULL,NULL,2,0,NULL,NULL,29:15.3
54008,NULL,No Lamination,A6,Economy 150gsm Silk,87,NULL,Double Sided,5000,Flyers & Leaflets,42,38,NULL,1,42,NULL,0,NULL,NULL,2,0,NULL,NULL,29:15.3
54009,NULL,No Lamination,A6,Exclusive 350gsm Silk,89,NULL,Single Sided,100,Flyers & Leaflets,14,0,NULL,1,42,NULL,0,NULL,NULL,2,0,NULL,NULL,29:15.3
54010,NULL,No Lamination,A6,Economy 150gsm Silk,87,NULL,Double Sided,10000,Flyers & Leaflets,69,0,NULL,1,42,NULL,0,NULL,NULL,2,0,NULL,NULL,29:15.3
54011,NULL,Matt Lamination,A6,Exclusive 350gsm Silk,89,NULL,Single Sided,100,Flyers & Leaflets,26,0,NULL,1,42,20,0,NULL,NULL,2,0,NULL,NULL,29:15.3
54012,NULL,No Lamination,A6,Economy 150gsm Silk,87,NULL,Double Sided,20000,Flyers & Leaflets,130,0,NULL,1,42,NULL,0,NULL,NULL,2,0,NULL,NULL,29:15.3
54013,NULL,Matt Lamination,A6,Exclusive 350gsm Silk,89,NULL,Single Sided,250,Flyers & Leaflets,29,0,NULL,1,42,20,0,NULL,NULL,2,0,NULL,NULL,29:15.3
54014,NULL,No Lamination,A6,Economy 150gsm Silk,87,NULL,Double Sided,30000,Flyers & Leaflets,177,0,NULL,1,42,NULL,0,NULL,NULL,2,0,NULL,NULL,29:15.3
