Product No.,Item no,Item Description English, Local Launch, Local          Exit,Product Category,Theme,RRP price DKK,RRP price SEK
60111,60111,Fire Utility Truck,,,,City Fire,299.95,
60112,60112,Fire Engine,,,,City Fire,349,
66541,66541,LEGO City VP_2,,,,City Fire,0,
60081,60081,Pickup Tow Truck,,,City Great Vehicles,City Great Vehicles,179.95,
60084,60084,Racing Bike Transporter,,,City Great Vehicles,City Great Vehicles,179.95,
60085,60085,4x4 with Powerboat,,,City Great Vehicles,City Great Vehicles,249.95,
60113,60113,Rally Car,,,,City Great Vehicles,99.95,
60114,60114,Race Boat,,,,City Great Vehicles,99.95,
60115,60115,4 x 4 Off Roader,,,,City Great Vehicles,179.95,
60116,60116,Ambulance Plane,,,,City Great Vehicles,179.95,
60117,60117,Van & Caravan,,,,City Great Vehicles,179.95,
60118,60118,Garbage Truck,,,,City Great Vehicles,179.95,
60119,60119,Ferry,,,,City Great Vehicles,249.95,
60120,60120,Volcano Starter Set,,,,City In/Out,99.95,
60121,60121,Volcano Exploration Truck,,,,City In/Out,179.95,
60122,60122,Volcano Crawler,,,,City In/Out,269.95,
60123,60123,Volcano Supply Helicopter,,,,City In/Out,449,
60124,60124,Volcano Exploration Base,,,,City In/Out,899,
60125,60125,Volcano Heavy-lift Helicopter,,,,City In/Out,1099,
66540,66540,LEGO City VP_1,,,,City In/Out,0,
60044,60044,Mobile Police Unit,,,,City Police,249.95,
60047,60047,Police Station,,,,City Police,899,
60067,60067,Helicopter Pursuit,,,City Police,City Police,269.95,
60069,60069,Swamp Police Station,,,City Police,City Police,649,
60071,60071,Hovercraft Arrest,,,City Police,City Police,349,
60126,60126,Tire Escape,,,,City Police,49.95,
60127,60127,Prison Island Starter Set,,,,City Police,99.95,
60128,60128,Police Pursuit,,,,City Police,179.95,
60129,60129,Police Patrol Boat,,,,City Police,349,
60130,60130,Prison Island,,,,City Police,749,
60131,60131,Crooks Island,,,,City Police,269.95,
60077,60077,Space Starter Set,,,City Space Port,City Space Port,99.95,
60078,60078,Utility Shuttle,,,City Space Port,City Space Port,179.95,
60079,60079,Training Jet Transporter,,,City Space Port,City Space Port,449,
60080,60080,Spaceport,,,City Space Port,City Space Port,799,
7280,7280,Straight & Crossroad,,,City Supplementary,City Supplementary,99.95,
