"product_code","ean","description"
46780650,"3423470476590       ","Jean Paul Gaultier Le Male  deodorant spray"
46780613,"3423470476996       ","Jean Paul Gaultier Le Male  eau de toilette spray"
46780614,"3423470477009       ","Jean Paul Gaultier Le Male  eau de toilette spray"
46780612,"3423470477238       ","#N/A"
46780686,"3423474774555       ","Jean Paul Gaultier Le Male gift set "
46757010,"3700256500053       ","Stella McCartney Stella  eau de parfum spray"
46757011,"3700256500107       ","Stella McCartney Stella  Eau de parfum spray"
46757051,"3700256500206       ","Stella McCartney Stella  Body lotion"
46757012,"3700256501494       ","Stella McCartney Stella  Eau de parfum spray"
46754204,"3605521172525       ","Giorgio Armani Acqua di Gioia  eau de parfum"
46754203,"3605521172587       ","Giorgio Armani Acqua di Gioia  eau de parfum"
46754202,"3605521172648       ","Giorgio Armani Acqua di Gioia  eau de parfum"
46754250,"3605521173423       ","Giorgio Armani Acqua di Gioia  body lotion"
46757901,"3700256526947       ","Stella McCartney L.I.L.Y  eau de parfum"
46757902,"3700256526985       ","Stella McCartney L.I.L.Y  eau de parfum"
46757903,"3700256527067       ","Stella McCartney L.I.L.Y  eau de parfum"
46757950,"3700256527340       ","Stella McCartney L.I.L.Y  body milk"
46757951,"3700256527548       ","Stella McCartney L.I.L.Y  shower gel"
46754421,"3605521419378       ","Giorgio Armani Acqua di Giò Homme  eau de parfum"
46751088,"3605521473387       ","#N/A"
46754210,"3605521475343       ","Giorgio Armani Acqua di Gioia  eau de parfum"
46754211,"3605521475411       ","Giorgio Armani Acqua di Gioia  eau de parfum"
46751087,"3605521480477       ","#N/A"
46751850,"3605521515209       ","Viktor & Rolf Spicebomb  shower gel"
46751851,"3605521515278       ","Viktor & Rolf Spicebomb  deodorant spray"
46751802,"3605521515346       ","Viktor & Rolf Spicebomb  eau de toilette"
46751810,"3605521515483       ","#N/A"
46751801,"3605521515629       ","Viktor & Rolf Spicebomb  eau de toilette"
46754420,"3605521530332       ","Giorgio Armani Acqua di Giò Homme  eau de parfum"
46750620,"3605521534064       ","Diesel Only the Brave  eau de toilette"
46750621,"3605521534200       ","Diesel Only the Brave  eau de toilette"
46750310,"3605521629890       ","Diesel Loverdose  eau de toilette"
46750311,"3605521629968       ","Diesel Loverdose  eau de toilette"
46751096,"3605521646828       ","Viktor & Rolf Flowerbomb limited edition eau de parfum"
46757094,"3700256508912       ","Stella McCartney Absolute limited edition eau de parfum"
46757095,"3700256509568       ","Stella McCartney limited edition The Print eau de parfum Prints 1"
46757096,"3700256509681       ","Stella McCartney limited edition The Print eau de parfum Prints 2"
46757097,"3700256509858       ","Stella McCartney limited edition The Print eau de parfum Prints 3"
46757980,"3700256512667       ","Stella McCartney L.I.L.Y gift set "
46757082,"3700256513114       ","Stella McCartney Stella gift set "
46750619,"3605521705617       ","#N/A"
46750979,"3605521707857       ","Diesel Fuel for Life He gift set "
46750381,"3605521708557       ","Diesel Loverdose gift set "
46750382,"3605521708762       ","Diesel Loverdose gift set "
46750680,"3605521708830       ","Diesel Only the Brave gift set "
46750682,"3605521708908       ","Diesel Only the Brave gift set "
46755881,"3605521715975       ","Giorgio Armani Code for Men gift set "
46755781,"3605521716460       ","Giorgio Armani Code for Women gift set "
46754280,"3605521717238       ","Giorgio Armani Acqua di Gioia gift set "
46754480,"3605521717511       ","Giorgio Armani Acqua di Giò Homme gift set "
46755080,"3605521718075       ","Emporio Armani She gift set "
46755181,"3605521718143       ","Emporio Armani He gift set "
46756783,"3605521718211       ","Emporio Armani Diamonds for Men gift set "
46751086,"3605521718983       ","Viktor & Rolf Flowerbomb gift set "
46751881,"3605521719058       ","Viktor & Rolf Spicebomb gift set "
46780687,"3423474774258       ","Jean Paul Gaultier Le Male gift set "
46750301,"3605521132376       ","Diesel Loverdose  eau de parfum"
46750302,"3605521132437       ","Diesel Loverdose  eau de parfum"
46750303,"3605521132499       ","Diesel Loverdose  eau de parfum"
46785712,"3386460003902       ","Paul Smith Rose  eau de parfum"
46785711,"3386460003919       ","Paul Smith Rose  eau de parfum"
46785710,"3386460003926       ","Paul Smith Rose  eau de parfum"
46785781,"3386460040464       ","Paul Smith Rose gift set "
46785803,"3386460012157       ","Paul Smith Man  eau de toilette"
46785802,"3386460012164       ","Paul Smith Man  eau de toilette"
