identifier,name,price,url,brand,category,image_url,stock
ELSA/A,Elsa Wig by Joan Collins,39,http://www.naturalimagewigs.co.uk/Elsa-Wig-by-Joan-Collins.html,Dynasty Hairstyles by Joan Collins,Wigs,http://www.naturalimagewigs.co.uk/images/T/jc_elsa_t-01.jpg,in stock
EMB,Embrace Wig by Natural Image,95,http://www.naturalimagewigs.co.uk/Embrace-Wig-by-Natural-Image.html,Natural Image,Wigs,http://www.naturalimagewigs.co.uk/images/T/embrace_t.jpg,in stock
2551,Emily Wig by Amore,207,http://www.naturalimagewigs.co.uk/Emily-Wig-by-Amore.html,Amore,Wigs,http://www.naturalimagewigs.co.uk/images/T/Emily%20T.jpeg,in stock
EMY,Emily Wig by Natural Image,88,http://www.naturalimagewigs.co.uk/Emily-Wig.html,Natural Image,Wigs,http://www.naturalimagewigs.co.uk/images/T/emily_t.jpg,in stock
EMM01/A,Emmy Wig by Paula Young,85,http://www.naturalimagewigs.co.uk/Emmy-Wig-by-Paula-Young.html,Paula Young,Wigs,http://www.naturalimagewigs.co.uk/images/T/EMMY-150-150WEB.jpg,in stock
ECH,Enchant Wig by Raquel Welch,123,http://www.naturalimagewigs.co.uk/Enchant-Wig.html,Raquel Welch,Wigs,http://www.naturalimagewigs.co.uk/images/T/enchant_t.jpg,in stock
PYEN,Endearment Wig by Paula Young (A),80,http://www.naturalimagewigs.co.uk/Endearment.html,Paula Young,Wigs,http://www.naturalimagewigs.co.uk/images/T/endearment_t-01.jpg,in stock
PYEN/P,Endearment Wig by Paula Young (P),80,http://www.naturalimagewigs.co.uk/Endearment-Wig-by-Paula-Young-P.html,Paula Young,Wigs,http://www.naturalimagewigs.co.uk/images/T/endearment_t-01.jpg,in stock
PYENH,Enhance Hairpiece by Paula Young,65,http://www.naturalimagewigs.co.uk/Enhance-Hairpiece-by-Paula-Young.html,Paula Young,Hairpieces,http://www.naturalimagewigs.co.uk/images/T/xctmpJpnDdK.png,in stock
EHCE/A,Enhance Wig by Natural Image,115,http://www.naturalimagewigs.co.uk/Enhance-Wig-by-Natural-Image.html,Natural Image,Wigs,http://www.naturalimagewigs.co.uk/images/T/enhance_t.jpg,in stock
ECE,Entice Wig by Raquel Welch,139,http://www.naturalimagewigs.co.uk/Entice-Wig-by-Raquel-Welch.html,Raquel Welch,Wigs,http://www.naturalimagewigs.co.uk/images/T/2014-rw-entice-th.jpg,in stock
ETY/A,Eternity Lace Front Wig by Natural Image,235,http://www.naturalimagewigs.co.uk/Eternity.html,Inspired,Wigs,http://www.naturalimagewigs.co.uk/images/T/eternity_t.jpg,in stock
EV,Eva Wig by Natural Image,90,http://www.naturalimagewigs.co.uk/Eva-Wig-by-Natural-Image.html,Natural Image,Wigs,http://www.naturalimagewigs.co.uk/images/T/eva_t.jpg,in stock
1672,Eva Wig by Noriko,89,http://www.naturalimagewigs.co.uk/Eva-Wig-by-Noriko.html,Noriko,Wigs,http://www.naturalimagewigs.co.uk/images/T/eva_t-01.jpg,in stock
