identifier,sku,name,price,url,category,brand,image_url,shipping_cost
,ima,All Hits IMA 26 Disc CDG Karaoke Pack - 390 Songs,48.43,http://www.axemusic.com/store/product/28328/All-Hits-IMA-26-Disc-CDG-Karaoke-Pack-390-Songs/,CAVS SCDG Karaoke Discs,,,
,cbesp493,"Chartbuster CBESP493 Best Pop 2008 - 6 discs, 100 songs - CD-G Format",84.95,http://www.axemusic.com/store/product/27070/Chartbuster-CBESP493-Best-Pop-2008-6-discs%2C-100-songs-CD-G-Format/,CAVS SCDG Karaoke Discs,,,
,cbesp503,"Chartbuster CBESP503 Best Country 2009 - 6 discs, 100 songs - CD-G Format",84.95,http://www.axemusic.com/store/product/27069/Chartbuster-CBESP503-Best-Country-2009-6-discs%2C-100-songs-CD-G-Format/,CAVS SCDG Karaoke Discs,,,
,cbesp504,"Chartbuster CBESP504 Best Pop 2009 - 6 discs, 100 songs - CD-G Format",84.95,http://www.axemusic.com/store/product/27068/Chartbuster-CBESP504-Best-Pop-2009-6-discs%2C-100-songs-CD-G-Format/,CAVS SCDG Karaoke Discs,,,
,cbesp507,"Chartbuster CBESP507 Best Pop 2010 - 6 discs, 100 songs - CD-G Format",84.95,http://www.axemusic.com/store/product/27066/Chartbuster-CBESP507-Best-Pop-2010-6-discs%2C-100-songs-CD-G-Format/,CAVS SCDG Karaoke Discs,,,
,scdg450v4,Chartbuster Essential 450 Volume 4 SCDG Karaoke Disc Package,29.95,http://www.axemusic.com/store/product/9413/Chartbuster-Essential-450-Volume-4-SCDG-Karaoke-Disc-Package/,CAVS SCDG Karaoke Discs,,,
,scdg450v5,Chartbuster Essential 450 Volume 5 SCDG Karaoke Disc Package,29.95,http://www.axemusic.com/store/product/9414/Chartbuster-Essential-450-Volume-5-SCDG-Karaoke-Disc-Package/,CAVS SCDG Karaoke Discs,,,
,scdg450v6,Chartbuster Essential 450 Volume 6 SCDG Karaoke Disc Package,29.95,http://www.axemusic.com/store/product/11450/Chartbuster-Essential-450-Volume-6-SCDG-Karaoke-Disc-Package/,CAVS SCDG Karaoke Discs,,,
,scdg450v1,"Chartbuster SCDG Volume 1, 450 songs",29.95,http://www.axemusic.com/store/product/3778/Chartbuster-SCDG-Volume-1%2C-450-songs/,CAVS SCDG Karaoke Discs,,,
,scdg450v2,"Chartbuster SCDG Volume 2, 450 songs",29.95,http://www.axemusic.com/store/product/3779/Chartbuster-SCDG-Volume-2%2C-450-songs/,CAVS SCDG Karaoke Discs,,,
,mix800,Behringer Minimix MIX800 Ultra-Compact Karaoke Machine with Voice Canceller and FX,75.00,http://www.axemusic.com/store/product/11502/Behringer-Minimix-MIX800-Ultra-Compact-Karaoke-Machine-with-Voice-Canceller-and-FX/,Component Players,,,
,203gusb,CAVS DVD-203G Karaoke Player - DVD / MPEG4 / VCD / Super CD+G / CD+G / CD / MP3 / Kodak Photo CD,273.27,http://www.axemusic.com/store/product/15409/CAVS-DVD-203G-Karaoke-Player-DVD-MPEG4-VCD-Super-CD%2BG-CD%2BG-CD-MP3-Kodak-Photo-CD/,Component Players,,,
,akj7809,Audio2000s AKJ7809 All-In-One Recordable 100-watt Professional Karaoke PA System,482.43,http://www.axemusic.com/store/product/27536/Audio2000s-AKJ7809-All-In-One-Recordable-100-watt-Professional-Karaoke-PA-System/,Stand Alone Players,,,
,akj780d,Audio2000s AKJ780D All In One 180 Watt Professional Karaoke PA System,669.95,http://www.axemusic.com/store/product/15103/Audio2000s-AKJ780D-All-In-One-180-Watt-Professional-Karaoke-PA-System/,Stand Alone Players,,,
,jb199dual,CAVS JB199 Dual Screen Upgrade Kit for a JB199 Premier Karaoke Player,230.42,http://www.axemusic.com/store/product/14703/CAVS-JB199-Dual-Screen-Upgrade-Kit-for-a-JB199-Premier-Karaoke-Player/,Stand Alone Players,,,
,jb199250g,"Cavs JB199-250G Karaoke Jukebox with Digital Recording , holds up to 50,000 songs, comes preloaded with 17,100 songs",2611.37,http://www.axemusic.com/store/product/7682/Cavs-JB199-250G-Karaoke-Jukebox-with-Digital-Recording-%2C-holds-up-to-50%2C000-songs%2C-comes-preloaded-with-17%2C100-songs/,Stand Alone Players,,,
,nexstarlite,CAVS NEXSTARLITE External CD Drive for Karaoke Players,198.16,http://www.axemusic.com/store/product/25765/CAVS-NEXSTARLITE-External-CD-Drive-for-Karaoke-Players/,Stand Alone Players,,,
,kms7927b,On-Stage Karaoke Monitor Stand,89.43,http://www.axemusic.com/store/product/3982/On-Stage-Karaoke-Monitor-Stand/,Stand Alone Players,,,
,plextordrive,Plextor External USB 2.0 CDR/DVD Hard Drive for JB199,198.16,http://www.axemusic.com/store/product/18922/Plextor-External-USB-2.0-CDR-DVD-Hard-Drive-for-JB199/,Stand Alone Players,,,
,28474,A&L Dreadnaught Series Cedar Antique Burst Acoustic Guitar with Solid Cedar Top and Wild Cherry Back and Sides - Semi-Gloss Custom Varnish Finish,349.95,http://www.axemusic.com/store/product/20469/A%26L-Dreadnaught-Series-Cedar-Antique-Burst-Acoustic-Guitar-with-Solid-Cedar-Top-and-Wild-Cherry-Back-and-Sides-Semi-Gloss-Custom-Varnish-Finish/,6 String Acoustic Guitars,,,
,32945,A&L Folk Series Cedar Antique Burst Acoustic Guitar with Solid Cedar Top and Wild Cherry Back and Sides - Semi-Gloss Custom Varnish Finish,314.25,http://www.axemusic.com/store/product/20473/A%26L-Folk-Series-Cedar-Antique-Burst-Acoustic-Guitar-with-Solid-Cedar-Top-and-Wild-Cherry-Back-and-Sides-Semi-Gloss-Custom-Varnish-Finish/,6 String Acoustic Guitars,,,
,32969,A&L Folk Series Cedar Black Acoustic Guitar with Solid Cedar Top and Wild Cherry Back and Sides - Black Semi-Gloss Custom Varnish Finish,314.25,http://www.axemusic.com/store/product/20474/A%26L-Folk-Series-Cedar-Black-Acoustic-Guitar-with-Solid-Cedar-Top-and-Wild-Cherry-Back-and-Sides-Black-Semi-Gloss-Custom-Varnish-Finish/,6 String Acoustic Guitars,,,
,32983,A&L Folk Series Spruce Burgundy Acoustic Guitar with Solid Spruce Top and Wild Cherry Back and Sides - Burgundy Semi Gloss Custom Varnish Finish,314.25,http://www.axemusic.com/store/product/20475/A%26L-Folk-Series-Spruce-Burgundy-Acoustic-Guitar-with-Solid-Spruce-Top-and-Wild-Cherry-Back-and-Sides-Burgundy-Semi-Gloss-Custom-Varnish-Finish/,6 String Acoustic Guitars,,,
,28498,A&L Spruce Burgundy Dreadnought Acoustic Guitar with Solid Spruce Top and Wild Cherry Back and Sides - Gloss Top,349.95,http://www.axemusic.com/store/product/20470/A%26L-Spruce-Burgundy-Dreadnought-Acoustic-Guitar-with-Solid-Spruce-Top-and-Wild-Cherry-Back-and-Sides-Gloss-Top/,6 String Acoustic Guitars,,,
